v1	V(vo1)	V(vo2)
-1.000000000000000e+01	-9.996410e+00	8.495568e+00
-9.900000000000000e+00	-9.996399e+00	8.495568e+00
-9.800000000000001e+00	-9.996388e+00	8.495568e+00
-9.700000000000001e+00	-9.996378e+00	8.495568e+00
-9.600000000000001e+00	-9.996367e+00	8.495568e+00
-9.500000000000002e+00	-9.996356e+00	8.495568e+00
-9.400000000000002e+00	-9.996346e+00	8.495568e+00
-9.300000000000002e+00	-9.996335e+00	8.495568e+00
-9.200000000000003e+00	-9.996325e+00	8.495568e+00
-9.100000000000003e+00	-9.996313e+00	8.495568e+00
-9.000000000000004e+00	-9.996303e+00	8.495568e+00
-8.900000000000004e+00	-9.996292e+00	8.495568e+00
-8.800000000000004e+00	-9.996282e+00	8.495568e+00
-8.700000000000005e+00	-9.996270e+00	8.495568e+00
-8.600000000000005e+00	-9.996260e+00	8.495568e+00
-8.500000000000005e+00	-9.996249e+00	8.495568e+00
-8.400000000000006e+00	-9.996239e+00	8.495568e+00
-8.300000000000006e+00	-9.996227e+00	8.495568e+00
-8.200000000000006e+00	-9.996217e+00	8.495568e+00
-8.100000000000007e+00	-9.996206e+00	8.495568e+00
-8.000000000000007e+00	-9.996195e+00	8.495568e+00
-7.900000000000007e+00	-9.996184e+00	8.495568e+00
-7.800000000000008e+00	-9.996174e+00	8.495568e+00
-7.700000000000008e+00	-9.996163e+00	8.495568e+00
-7.600000000000009e+00	-9.996152e+00	8.495568e+00
-7.500000000000009e+00	-9.996141e+00	8.495568e+00
-7.400000000000009e+00	-9.996131e+00	8.495568e+00
-7.300000000000010e+00	-9.996119e+00	8.495568e+00
-7.200000000000010e+00	-9.996109e+00	8.495568e+00
-7.100000000000010e+00	-9.996099e+00	8.495568e+00
-7.000000000000011e+00	-9.996087e+00	8.495568e+00
-6.900000000000011e+00	-9.996077e+00	8.495568e+00
-6.800000000000011e+00	-9.996066e+00	8.495567e+00
-6.700000000000012e+00	-9.996055e+00	8.495567e+00
-6.600000000000012e+00	-9.996044e+00	8.495567e+00
-6.500000000000012e+00	-9.996033e+00	8.495567e+00
-6.400000000000013e+00	-9.996022e+00	8.495567e+00
-6.300000000000013e+00	-9.996012e+00	8.495567e+00
-6.200000000000014e+00	-9.996000e+00	8.495567e+00
-6.100000000000014e+00	-9.995990e+00	8.495567e+00
-6.000000000000014e+00	-9.995979e+00	8.495567e+00
-5.900000000000015e+00	-9.995968e+00	8.495567e+00
-5.800000000000015e+00	-9.995957e+00	8.495567e+00
-5.700000000000015e+00	-9.995946e+00	8.495567e+00
-5.600000000000016e+00	-9.995935e+00	8.495567e+00
-5.500000000000016e+00	-9.995925e+00	8.495567e+00
-5.400000000000016e+00	-9.995914e+00	8.495567e+00
-5.300000000000017e+00	-9.995903e+00	8.495567e+00
-5.200000000000017e+00	-9.995892e+00	8.495567e+00
-5.100000000000017e+00	-9.995881e+00	8.495567e+00
-5.000000000000018e+00	-9.995870e+00	8.495567e+00
-4.900000000000018e+00	-9.995859e+00	8.495567e+00
-4.800000000000018e+00	-9.995848e+00	8.495567e+00
-4.700000000000019e+00	-9.995837e+00	8.495567e+00
-4.600000000000019e+00	-9.995827e+00	8.495567e+00
-4.500000000000020e+00	-9.995815e+00	8.495567e+00
-4.400000000000020e+00	-9.995805e+00	8.495567e+00
-4.300000000000020e+00	-9.995793e+00	8.495567e+00
-4.200000000000021e+00	-9.995777e+00	8.495567e+00
-4.100000000000021e+00	-9.995505e+00	8.495567e+00
-4.000000000000021e+00	-9.987542e+00	8.495567e+00
-3.900000000000021e+00	-9.916203e+00	8.495562e+00
-3.800000000000021e+00	-9.723584e+00	8.495548e+00
-3.700000000000021e+00	-9.523602e+00	8.495533e+00
-3.600000000000021e+00	-9.323609e+00	8.495519e+00
-3.500000000000021e+00	-9.123621e+00	8.495503e+00
-3.400000000000021e+00	-8.923632e+00	8.495489e+00
-3.300000000000021e+00	-8.723643e+00	8.495474e+00
-3.200000000000021e+00	-8.523655e+00	8.495460e+00
-3.100000000000021e+00	-8.323666e+00	8.495445e+00
-3.000000000000020e+00	-8.123677e+00	8.495430e+00
-2.900000000000020e+00	-7.923688e+00	8.495416e+00
-2.800000000000020e+00	-7.723700e+00	8.495400e+00
-2.700000000000020e+00	-7.523711e+00	8.495386e+00
-2.600000000000020e+00	-7.323722e+00	8.495371e+00
-2.500000000000020e+00	-7.123733e+00	8.495357e+00
-2.400000000000020e+00	-6.923744e+00	8.495337e+00
-2.300000000000020e+00	-6.723714e+00	8.495160e+00
-2.200000000000020e+00	-6.522241e+00	8.489248e+00
-2.100000000000020e+00	-6.298126e+00	8.392879e+00
-2.000000000000020e+00	-5.999668e+00	7.998985e+00
-1.900000000000019e+00	-5.699698e+00	7.599036e+00
