time	V(v1)	V(v2)	V(vo2)
0.000000000000000e+00	0.000000e+00	1.224647e-16	-1.092111e-08
2.117330659685697e-08	1.330358e-04	-1.330358e-04	7.647513e-07
4.234661319371394e-08	2.660716e-04	-2.660716e-04	-8.726733e-06
6.351991979057091e-08	3.991074e-04	-3.991074e-04	-2.848538e-05
8.469322638742788e-08	5.321432e-04	-5.321432e-04	-5.851117e-05
1.058665329842849e-07	6.651790e-04	-6.651790e-04	-9.880413e-05
1.270398395811418e-07	7.982148e-04	-7.982148e-04	-1.493642e-04
1.482131461779987e-07	9.312505e-04	-9.312505e-04	-2.101915e-04
2.207945690553300e-07	1.387293e-03	-1.387293e-03	-5.439470e-04
3.122913940850958e-07	1.962184e-03	-1.962184e-03	-1.285697e-03
4.556762848034472e-07	2.863095e-03	-2.863095e-03	-3.163755e-03
6.614328296950568e-07	4.155893e-03	-4.155893e-03	-7.225480e-03
9.522593645823766e-07	5.983186e-03	-5.983186e-03	-1.518206e-02
1.313962659469256e-06	8.255777e-03	-8.255777e-03	-2.774264e-02
1.776227118288556e-06	1.116013e-02	-1.116013e-02	-4.670504e-02
2.478412912662867e-06	1.557170e-02	-1.557170e-02	-7.862005e-02
3.193936001792589e-06	2.006675e-02	-2.006675e-02	-1.130716e-01
5.582714242355398e-06	3.507004e-02	-3.507004e-02	-2.321081e-01
1.196854201429926e-05	7.528855e-02	-7.528855e-02	-5.538340e-01
1.835436978624313e-05	1.152266e-01	-1.152266e-01	-8.734023e-01
2.474019755818700e-05	1.548843e-01	-1.548843e-01	-1.190813e+00
3.112602533013086e-05	1.942615e-01	-1.942615e-01	-1.506066e+00
3.751185310207473e-05	2.333583e-01	-2.333583e-01	-1.819162e+00
4.389768087401859e-05	2.721747e-01	-2.721747e-01	-2.130100e+00
5.028350864596245e-05	3.107107e-01	-3.107107e-01	-2.438880e+00
6.200225864596246e-05	3.806441e-01	-3.806441e-01	-2.999445e+00
7.372100864596247e-05	4.476539e-01	-4.476539e-01	-3.536846e+00
8.543975864596249e-05	5.117400e-01	-5.117400e-01	-4.051084e+00
9.715850864596250e-05	5.729024e-01	-5.729024e-01	-4.542157e+00
1.088772586459625e-04	6.311410e-01	-6.311410e-01	-5.010066e+00
1.205960086459625e-04	6.864560e-01	-6.864560e-01	-5.454812e+00
1.323147586459625e-04	7.388473e-01	-7.388473e-01	-5.876393e+00
1.535201157888197e-04	8.237248e-01	-8.237248e-01	-6.560524e+00
1.747254729316768e-04	8.918595e-01	-8.918595e-01	-7.110976e+00
1.959308300745340e-04	9.432514e-01	-9.432514e-01	-7.527750e+00
2.171361872173912e-04	9.779004e-01	-9.779004e-01	-7.810846e+00
2.383415443602483e-04	9.958067e-01	-9.958067e-01	-7.960263e+00
2.595469015031055e-04	9.969700e-01	-9.969700e-01	-7.976002e+00
2.807522586459626e-04	9.813906e-01	-9.813906e-01	-7.858063e+00
2.974933300745341e-04	9.543879e-01	-9.543879e-01	-7.647160e+00
3.142344015031055e-04	9.181394e-01	-9.181394e-01	-7.362033e+00
3.309754729316770e-04	8.726450e-01	-8.726450e-01	-7.002681e+00
3.477165443602484e-04	8.179046e-01	-8.179046e-01	-6.569106e+00
3.644576157888199e-04	7.539184e-01	-7.539184e-01	-6.061307e+00
3.811986872173913e-04	6.806863e-01	-6.806863e-01	-5.479284e+00
3.979397586459627e-04	5.982084e-01	-5.982084e-01	-4.823036e+00
4.079844015031056e-04	5.459121e-01	-5.459121e-01	-4.406561e+00
4.180290443602484e-04	4.919978e-01	-4.919978e-01	-3.976970e+00
4.280736872173913e-04	4.364655e-01	-4.364655e-01	-3.534264e+00
4.381183300745342e-04	3.793153e-01	-3.793153e-01	-3.078442e+00
4.481629729316771e-04	3.205471e-01	-3.205471e-01	-2.609505e+00
4.582076157888199e-04	2.601609e-01	-2.601609e-01	-2.127454e+00
4.682522586459628e-04	1.981567e-01	-1.981567e-01	-1.632286e+00
4.727165443602485e-04	1.705338e-01	-1.705338e-01	-1.411623e+00
4.771808300745342e-04	1.428315e-01	-1.428315e-01	-1.190286e+00
4.816451157888199e-04	1.150497e-01	-1.150497e-01	-9.682753e-01
4.861094015031056e-04	8.718834e-02	-8.718834e-02	-7.455907e-01
4.905736872173914e-04	5.924752e-02	-5.924752e-02	-5.222324e-01
4.950379729316771e-04	3.122721e-02	-3.122721e-02	-2.982002e-01
4.995022586459628e-04	3.127396e-03	-3.127396e-03	-7.349430e-02
5.034085086459628e-04	-2.145150e-02	2.145150e-02	1.230876e-01
5.073147586459628e-04	-4.598063e-02	4.598063e-02	3.193007e-01
5.112210086459628e-04	-7.045999e-02	7.045999e-02	5.151450e-01
5.151272586459628e-04	-9.488957e-02	9.488957e-02	7.106203e-01
5.190335086459628e-04	-1.192694e-01	1.192694e-01	9.057268e-01
5.229397586459628e-04	-1.435994e-01	1.435994e-01	1.100465e+00
5.268460086459628e-04	-1.678797e-01	1.678797e-01	1.294833e+00
5.363326157888199e-04	-2.268027e-01	2.268027e-01	1.766654e+00
5.458192229316771e-04	-2.844222e-01	2.844222e-01	2.228209e+00
5.553058300745343e-04	-3.407382e-01	3.407382e-01	2.679499e+00
5.647924372173915e-04	-3.957507e-01	3.957507e-01	3.120525e+00
5.742790443602486e-04	-4.494597e-01	4.494597e-01	3.551285e+00
5.837656515031058e-04	-5.018652e-01	5.018652e-01	3.971781e+00
5.932522586459629e-04	-5.529672e-01	5.529672e-01	4.382011e+00
6.088772586459629e-04	-6.334585e-01	6.334585e-01	5.028663e+00
6.245022586459629e-04	-7.063127e-01	7.063127e-01	5.614512e+00
6.401272586459629e-04	-7.715298e-01	7.715298e-01	6.139559e+00
6.557522586459629e-04	-8.291099e-01	8.291099e-01	6.603803e+00
6.713772586459630e-04	-8.790529e-01	8.790529e-01	7.007245e+00
6.870022586459630e-04	-9.213589e-01	9.213589e-01	7.349884e+00
7.026272586459630e-04	-9.560278e-01	9.560278e-01	7.631721e+00
7.255067229316773e-04	-9.871588e-01	9.871588e-01	7.887828e+00
7.483861872173916e-04	-9.985423e-01	9.985423e-01	7.985803e+00
7.712656515031059e-04	-9.901783e-01	9.901783e-01	7.925647e+00
7.941451157888203e-04	-9.620669e-01	9.620669e-01	7.707360e+00
8.170245800745346e-04	-9.142080e-01	9.142080e-01	7.330942e+00
8.399040443602488e-04	-8.466017e-01	8.466017e-01	6.796392e+00
8.627835086459631e-04	-7.592479e-01	7.592479e-01	6.103712e+00
8.745022586459631e-04	-7.085164e-01	7.085164e-01	5.700635e+00
8.862210086459631e-04	-6.547233e-01	6.547233e-01	5.272857e+00
8.979397586459632e-04	-5.978685e-01	5.978685e-01	4.820378e+00
9.096585086459632e-04	-5.379520e-01	5.379520e-01	4.343198e+00
9.213772586459632e-04	-4.749739e-01	4.749739e-01	3.841318e+00
9.330960086459632e-04	-4.089342e-01	4.089342e-01	3.314736e+00
9.448147586459632e-04	-3.398328e-01	3.398328e-01	2.763453e+00
9.515111872173918e-04	-2.997913e-01	2.997913e-01	2.443872e+00
9.582076157888203e-04	-2.593998e-01	2.593998e-01	2.121407e+00
9.649040443602489e-04	-2.186582e-01	2.186582e-01	1.796058e+00
9.716004729316774e-04	-1.775665e-01	1.775665e-01	1.467825e+00
9.782969015031061e-04	-1.361248e-01	1.361248e-01	1.136708e+00
9.849933300745345e-04	-9.433296e-02	9.433296e-02	8.027072e-01
9.916897586459631e-04	-5.219106e-02	5.219106e-02	4.658224e-01
1.011221008645963e-03	7.044528e-02	-7.044528e-02	-5.150352e-01
1.018475472931677e-03	1.160555e-01	-1.160555e-01	-8.800185e-01
1.025729937217392e-03	1.611930e-01	-1.611930e-01	-1.241320e+00
1.032984401503106e-03	2.058581e-01	-2.058581e-01	-1.598941e+00
1.040238865788820e-03	2.500505e-01	-2.500505e-01	-1.952879e+00
1.047493330074535e-03	2.937703e-01	-2.937703e-01	-2.303137e+00
1.054747794360249e-03	3.370176e-01	-3.370176e-01	-2.649712e+00
1.062002258645963e-03	3.797922e-01	-3.797922e-01	-2.992607e+00
1.074837080074535e-03	4.541277e-01	-4.541277e-01	-3.588787e+00
1.087671901503106e-03	5.244461e-01	-5.244461e-01	-4.153083e+00
1.100506722931677e-03	5.907472e-01	-5.907472e-01	-4.685495e+00
1.113341544360249e-03	6.530312e-01	-6.530312e-01	-5.186022e+00
1.126176365788820e-03	7.112980e-01	-7.112980e-01	-5.654666e+00
1.139011187217392e-03	7.655476e-01	-7.655476e-01	-6.091426e+00
1.151846008645963e-03	8.157800e-01	-8.157800e-01	-6.496302e+00
1.181979937217392e-03	9.107108e-01	-9.107108e-01	-7.264247e+00
1.212113865788821e-03	9.713060e-01	-9.713060e-01	-7.757513e+00
1.242247794360249e-03	9.975656e-01	-9.975656e-01	-7.976100e+00
1.272381722931678e-03	9.894896e-01	-9.894896e-01	-7.920008e+00
1.302515651503106e-03	9.470780e-01	-9.470780e-01	-7.589238e+00
1.332649580074535e-03	8.703307e-01	-8.703307e-01	-6.983789e+00
1.362783508645963e-03	7.592479e-01	-7.592479e-01	-6.103662e+00
1.374502258645963e-03	7.085164e-01	-7.085164e-01	-5.700584e+00
1.386221008645963e-03	6.547233e-01	-6.547233e-01	-5.272806e+00
1.397939758645963e-03	5.978685e-01	-5.978685e-01	-4.820329e+00
1.409658508645964e-03	5.379520e-01	-5.379520e-01	-4.343151e+00
1.421377258645964e-03	4.749739e-01	-4.749739e-01	-3.841274e+00
1.433096008645964e-03	4.089342e-01	-4.089342e-01	-3.314696e+00
1.444814758645964e-03	3.398328e-01	-3.398328e-01	-2.763419e+00
1.451511187217392e-03	2.997913e-01	-2.997913e-01	-2.443842e+00
1.458207615788821e-03	2.593998e-01	-2.593998e-01	-2.121381e+00
1.464904044360249e-03	2.186582e-01	-2.186582e-01	-1.796036e+00
1.471600472931678e-03	1.775665e-01	-1.775665e-01	-1.467807e+00
1.478296901503106e-03	1.361248e-01	-1.361248e-01	-1.136694e+00
1.484993330074535e-03	9.433296e-02	-9.433296e-02	-8.026976e-01
1.491689758645964e-03	5.219106e-02	-5.219106e-02	-4.658173e-01
1.511221008645964e-03	-7.044528e-02	7.044528e-02	5.150273e-01
1.518475472931678e-03	-1.160555e-01	1.160555e-01	8.800058e-01
1.525729937217392e-03	-1.611930e-01	1.611930e-01	1.241303e+00
1.532984401503106e-03	-2.058581e-01	2.058581e-01	1.598919e+00
1.540238865788821e-03	-2.500505e-01	2.500505e-01	1.952853e+00
1.547493330074535e-03	-2.937703e-01	2.937703e-01	2.303106e+00
1.554747794360249e-03	-3.370176e-01	3.370176e-01	2.649678e+00
1.562002258645964e-03	-3.797922e-01	3.797922e-01	2.992568e+00
1.574837080074535e-03	-4.541277e-01	4.541277e-01	3.588743e+00
1.587671901503106e-03	-5.244461e-01	5.244461e-01	4.153034e+00
1.600506722931678e-03	-5.907472e-01	5.907472e-01	4.685443e+00
1.613341544360249e-03	-6.530312e-01	6.530312e-01	5.185969e+00
1.626176365788821e-03	-7.112980e-01	7.112980e-01	5.654613e+00
1.639011187217392e-03	-7.655476e-01	7.655476e-01	6.091373e+00
1.651846008645964e-03	-8.157800e-01	8.157800e-01	6.496251e+00
1.681979937217392e-03	-9.107108e-01	9.107108e-01	7.264212e+00
1.712113865788821e-03	-9.713060e-01	9.713060e-01	7.757493e+00
1.742247794360250e-03	-9.975656e-01	9.975656e-01	7.976095e+00
1.772381722931678e-03	-9.894896e-01	9.894896e-01	7.920018e+00
1.802515651503107e-03	-9.470780e-01	9.470780e-01	7.589262e+00
1.832649580074535e-03	-8.703307e-01	8.703307e-01	6.983827e+00
1.862783508645964e-03	-7.592479e-01	7.592479e-01	6.103712e+00
1.874502258645964e-03	-7.085164e-01	7.085164e-01	5.700635e+00
1.886221008645964e-03	-6.547233e-01	6.547233e-01	5.272857e+00
1.897939758645964e-03	-5.978685e-01	5.978685e-01	4.820378e+00
1.909658508645964e-03	-5.379520e-01	5.379520e-01	4.343198e+00
1.921377258645964e-03	-4.749739e-01	4.749739e-01	3.841318e+00
1.933096008645964e-03	-4.089342e-01	4.089342e-01	3.314736e+00
1.944814758645964e-03	-3.398328e-01	3.398328e-01	2.763453e+00
1.951511187217393e-03	-2.997913e-01	2.997913e-01	2.443872e+00
1.958207615788821e-03	-2.593998e-01	2.593998e-01	2.121407e+00
1.964904044360250e-03	-2.186582e-01	2.186582e-01	1.796058e+00
1.971600472931678e-03	-1.775665e-01	1.775665e-01	1.467825e+00
1.978296901503107e-03	-1.361248e-01	1.361248e-01	1.136708e+00
1.984993330074535e-03	-9.433296e-02	9.433296e-02	8.027072e-01
1.991689758645964e-03	-5.219106e-02	5.219106e-02	4.658224e-01
2.011221008645964e-03	7.044528e-02	-7.044528e-02	-5.150352e-01
2.018475472931678e-03	1.160555e-01	-1.160555e-01	-8.800185e-01
2.025729937217392e-03	1.611930e-01	-1.611930e-01	-1.241320e+00
2.032984401503107e-03	2.058581e-01	-2.058581e-01	-1.598941e+00
2.040238865788821e-03	2.500505e-01	-2.500505e-01	-1.952879e+00
2.047493330074535e-03	2.937703e-01	-2.937703e-01	-2.303137e+00
2.054747794360249e-03	3.370176e-01	-3.370176e-01	-2.649712e+00
2.062002258645964e-03	3.797922e-01	-3.797922e-01	-2.992607e+00
2.074837080074535e-03	4.541277e-01	-4.541277e-01	-3.588787e+00
2.087671901503107e-03	5.244461e-01	-5.244461e-01	-4.153083e+00
2.100506722931678e-03	5.907472e-01	-5.907472e-01	-4.685495e+00
2.113341544360250e-03	6.530312e-01	-6.530312e-01	-5.186022e+00
2.126176365788821e-03	7.112980e-01	-7.112980e-01	-5.654666e+00
2.139011187217392e-03	7.655476e-01	-7.655476e-01	-6.091426e+00
2.151846008645964e-03	8.157800e-01	-8.157800e-01	-6.496302e+00
2.181979937217392e-03	9.107108e-01	-9.107108e-01	-7.264247e+00
2.212113865788821e-03	9.713060e-01	-9.713060e-01	-7.757513e+00
2.242247794360250e-03	9.975656e-01	-9.975656e-01	-7.976100e+00
2.272381722931678e-03	9.894896e-01	-9.894896e-01	-7.920008e+00
2.302515651503107e-03	9.470780e-01	-9.470780e-01	-7.589238e+00
2.332649580074536e-03	8.703307e-01	-8.703307e-01	-6.983789e+00
2.362783508645964e-03	7.592479e-01	-7.592479e-01	-6.103662e+00
2.374502258645964e-03	7.085164e-01	-7.085164e-01	-5.700584e+00
2.386221008645964e-03	6.547233e-01	-6.547233e-01	-5.272806e+00
2.397939758645964e-03	5.978685e-01	-5.978685e-01	-4.820329e+00
2.409658508645964e-03	5.379520e-01	-5.379520e-01	-4.343151e+00
2.421377258645964e-03	4.749739e-01	-4.749739e-01	-3.841274e+00
2.433096008645964e-03	4.089342e-01	-4.089342e-01	-3.314696e+00
2.444814758645964e-03	3.398328e-01	-3.398328e-01	-2.763419e+00
2.451511187217393e-03	2.997913e-01	-2.997913e-01	-2.443842e+00
2.458207615788821e-03	2.593998e-01	-2.593998e-01	-2.121381e+00
2.464904044360250e-03	2.186582e-01	-2.186582e-01	-1.796036e+00
2.471600472931679e-03	1.775665e-01	-1.775665e-01	-1.467807e+00
2.478296901503107e-03	1.361248e-01	-1.361248e-01	-1.136694e+00
2.484993330074536e-03	9.433296e-02	-9.433296e-02	-8.026976e-01
2.491689758645964e-03	5.219106e-02	-5.219106e-02	-4.658173e-01
2.511221008645964e-03	-7.044528e-02	7.044528e-02	5.150273e-01
2.518475472931679e-03	-1.160555e-01	1.160555e-01	8.800058e-01
2.525729937217393e-03	-1.611930e-01	1.611930e-01	1.241303e+00
2.532984401503107e-03	-2.058581e-01	2.058581e-01	1.598919e+00
2.540238865788821e-03	-2.500505e-01	2.500505e-01	1.952853e+00
2.547493330074536e-03	-2.937703e-01	2.937703e-01	2.303106e+00
2.554747794360250e-03	-3.370176e-01	3.370176e-01	2.649678e+00
2.562002258645964e-03	-3.797922e-01	3.797922e-01	2.992568e+00
2.574837080074536e-03	-4.541277e-01	4.541277e-01	3.588743e+00
2.587671901503107e-03	-5.244461e-01	5.244461e-01	4.153034e+00
2.600506722931679e-03	-5.907472e-01	5.907472e-01	4.685443e+00
2.613341544360250e-03	-6.530312e-01	6.530312e-01	5.185969e+00
2.626176365788822e-03	-7.112980e-01	7.112980e-01	5.654613e+00
2.639011187217393e-03	-7.655476e-01	7.655476e-01	6.091373e+00
2.651846008645964e-03	-8.157800e-01	8.157800e-01	6.496251e+00
2.681979937217393e-03	-9.107108e-01	9.107108e-01	7.264212e+00
2.712113865788822e-03	-9.713060e-01	9.713060e-01	7.757493e+00
2.742247794360250e-03	-9.975656e-01	9.975656e-01	7.976095e+00
2.772381722931679e-03	-9.894896e-01	9.894896e-01	7.920018e+00
2.802515651503107e-03	-9.470780e-01	9.470780e-01	7.589262e+00
2.832649580074536e-03	-8.703307e-01	8.703307e-01	6.983827e+00
2.862783508645965e-03	-7.592479e-01	7.592479e-01	6.103712e+00
2.874502258645965e-03	-7.085164e-01	7.085164e-01	5.700635e+00
2.886221008645965e-03	-6.547233e-01	6.547233e-01	5.272857e+00
2.897939758645965e-03	-5.978685e-01	5.978685e-01	4.820378e+00
2.909658508645965e-03	-5.379520e-01	5.379520e-01	4.343198e+00
2.921377258645965e-03	-4.749739e-01	4.749739e-01	3.841318e+00
2.933096008645965e-03	-4.089342e-01	4.089342e-01	3.314736e+00
2.944814758645965e-03	-3.398328e-01	3.398328e-01	2.763453e+00
2.951511187217393e-03	-2.997913e-01	2.997913e-01	2.443872e+00
2.958207615788822e-03	-2.593998e-01	2.593998e-01	2.121407e+00
2.964904044360250e-03	-2.186582e-01	2.186582e-01	1.796058e+00
2.971600472931679e-03	-1.775665e-01	1.775665e-01	1.467825e+00
2.978296901503107e-03	-1.361248e-01	1.361248e-01	1.136708e+00
