vin	V(vo)
Step Information: R=1K
-1.000000000000000e+01	-9.989808e+00
-9.900000000000000e+00	-9.987892e+00
-9.800000000000001e+00	-9.985506e+00
-9.700000000000001e+00	-9.982537e+00
-9.600000000000001e+00	-9.978839e+00
-9.500000000000002e+00	-9.974181e+00
-9.400000000000002e+00	-9.968182e+00
-9.300000000000002e+00	-9.960134e+00
-9.200000000000003e+00	-9.948285e+00
-9.100000000000003e+00	-9.928324e+00
-9.000000000000004e+00	-9.882154e+00
-8.900000000000004e+00	-9.784785e+00
-8.800000000000004e+00	-9.675163e+00
-8.700000000000005e+00	-9.565252e+00
-8.600000000000005e+00	-9.455337e+00
-8.500000000000005e+00	-9.345421e+00
-8.400000000000006e+00	-9.235506e+00
-8.300000000000006e+00	-9.125590e+00
-8.200000000000006e+00	-9.015676e+00
-8.100000000000007e+00	-8.905760e+00
-8.000000000000007e+00	-8.795845e+00
-7.900000000000007e+00	-8.685930e+00
-7.800000000000008e+00	-8.576015e+00
-7.700000000000008e+00	-8.466100e+00
-7.600000000000009e+00	-8.356185e+00
-7.500000000000009e+00	-8.246270e+00
-7.400000000000009e+00	-8.136355e+00
-7.300000000000010e+00	-8.026441e+00
-7.200000000000010e+00	-7.916526e+00
-7.100000000000010e+00	-7.806612e+00
-7.000000000000011e+00	-7.696697e+00
-6.900000000000011e+00	-7.586782e+00
-6.800000000000011e+00	-7.476868e+00
-6.700000000000012e+00	-7.366953e+00
-6.600000000000012e+00	-7.257039e+00
-6.500000000000012e+00	-7.147125e+00
-6.400000000000013e+00	-7.037210e+00
-6.300000000000013e+00	-6.927296e+00
-6.200000000000014e+00	-6.817382e+00
-6.100000000000014e+00	-6.707468e+00
-6.000000000000014e+00	-6.597554e+00
-5.900000000000015e+00	-6.487640e+00
-5.800000000000015e+00	-6.377726e+00
-5.700000000000015e+00	-6.267812e+00
-5.600000000000016e+00	-6.157898e+00
-5.500000000000016e+00	-6.047985e+00
-5.400000000000016e+00	-5.938071e+00
-5.300000000000017e+00	-5.828157e+00
-5.200000000000017e+00	-5.718244e+00
-5.100000000000017e+00	-5.608330e+00
-5.000000000000018e+00	-5.498416e+00
-4.900000000000018e+00	-5.388503e+00
-4.800000000000018e+00	-5.278590e+00
-4.700000000000019e+00	-5.168676e+00
-4.600000000000019e+00	-5.058763e+00
-4.500000000000020e+00	-4.948850e+00
-4.400000000000020e+00	-4.838937e+00
-4.300000000000020e+00	-4.729023e+00
-4.200000000000021e+00	-4.619111e+00
-4.100000000000021e+00	-4.509198e+00
-4.000000000000021e+00	-4.399284e+00
-3.900000000000021e+00	-4.289371e+00
-3.800000000000021e+00	-4.179459e+00
-3.700000000000021e+00	-4.069546e+00
-3.600000000000021e+00	-3.959633e+00
-3.500000000000021e+00	-3.849721e+00
-3.400000000000021e+00	-3.739808e+00
-3.300000000000021e+00	-3.629895e+00
-3.200000000000021e+00	-3.519983e+00
-3.100000000000021e+00	-3.410070e+00
-3.000000000000020e+00	-3.300158e+00
-2.900000000000020e+00	-3.190246e+00
-2.800000000000020e+00	-3.080333e+00
-2.700000000000020e+00	-2.970421e+00
-2.600000000000020e+00	-2.860509e+00
-2.500000000000020e+00	-2.750597e+00
-2.400000000000020e+00	-2.640685e+00
-2.300000000000020e+00	-2.530773e+00
-2.200000000000020e+00	-2.420861e+00
-2.100000000000020e+00	-2.310949e+00
-2.000000000000020e+00	-2.201037e+00
-1.900000000000019e+00	-2.091125e+00
-1.800000000000019e+00	-1.981214e+00
-1.700000000000019e+00	-1.871302e+00
-1.600000000000019e+00	-1.761391e+00
-1.500000000000019e+00	-1.651479e+00
-1.400000000000019e+00	-1.541568e+00
-1.300000000000019e+00	-1.431656e+00
-1.200000000000019e+00	-1.321745e+00
-1.100000000000019e+00	-1.211833e+00
-1.000000000000019e+00	-1.101922e+00
-9.000000000000187e-01	-9.920110e-01
-8.000000000000187e-01	-8.820999e-01
-7.000000000000187e-01	-7.721888e-01
-6.000000000000187e-01	-6.622778e-01
-5.000000000000188e-01	-5.523668e-01
-4.000000000000188e-01	-4.424559e-01
-3.000000000000188e-01	-3.325451e-01
-2.000000000000188e-01	-2.226343e-01
-1.000000000000188e-01	-1.127236e-01
-1.879052469178077e-14	-2.812901e-03
9.999999999998122e-02	1.070977e-01
1.999999999999812e-01	2.170083e-01
2.999999999999812e-01	3.269188e-01
3.999999999999813e-01	4.368292e-01
4.999999999999812e-01	5.467395e-01
5.999999999999812e-01	6.566499e-01
6.999999999999812e-01	7.665601e-01
7.999999999999812e-01	8.764703e-01
8.999999999999811e-01	9.863805e-01
9.999999999999811e-01	1.096290e+00
1.099999999999981e+00	1.206200e+00
1.199999999999981e+00	1.316110e+00
1.299999999999981e+00	1.426020e+00
1.399999999999981e+00	1.535930e+00
1.499999999999982e+00	1.645840e+00
1.599999999999982e+00	1.755750e+00
1.699999999999982e+00	1.865659e+00
1.799999999999982e+00	1.975569e+00
1.899999999999982e+00	2.085479e+00
1.999999999999982e+00	2.195388e+00
2.099999999999982e+00	2.305297e+00
2.199999999999982e+00	2.415207e+00
2.299999999999982e+00	2.525116e+00
2.399999999999982e+00	2.635025e+00
2.499999999999982e+00	2.744934e+00
2.599999999999982e+00	2.854843e+00
2.699999999999982e+00	2.964752e+00
2.799999999999983e+00	3.074661e+00
2.899999999999983e+00	3.184570e+00
2.999999999999983e+00	3.294479e+00
3.099999999999983e+00	3.404388e+00
3.199999999999983e+00	3.514297e+00
3.299999999999983e+00	3.624206e+00
3.399999999999983e+00	3.734114e+00
3.499999999999983e+00	3.844023e+00
3.599999999999983e+00	3.953931e+00
3.699999999999983e+00	4.063839e+00
3.799999999999983e+00	4.173748e+00
3.899999999999983e+00	4.283656e+00
3.999999999999984e+00	4.393565e+00
4.099999999999984e+00	4.503473e+00
4.199999999999983e+00	4.613381e+00
4.299999999999983e+00	4.723289e+00
4.399999999999983e+00	4.833197e+00
4.499999999999982e+00	4.943105e+00
4.599999999999982e+00	5.053012e+00
4.699999999999982e+00	5.162920e+00
4.799999999999981e+00	5.272828e+00
4.899999999999981e+00	5.382736e+00
4.999999999999980e+00	5.492643e+00
5.099999999999980e+00	5.602551e+00
5.199999999999980e+00	5.712459e+00
5.299999999999979e+00	5.822366e+00
5.399999999999979e+00	5.932273e+00
5.499999999999979e+00	6.042181e+00
5.599999999999978e+00	6.152088e+00
5.699999999999978e+00	6.261995e+00
5.799999999999978e+00	6.371902e+00
5.899999999999977e+00	6.481809e+00
5.999999999999977e+00	6.591716e+00
6.099999999999977e+00	6.701623e+00
6.199999999999976e+00	6.811530e+00
6.299999999999976e+00	6.921436e+00
6.399999999999975e+00	7.031343e+00
6.499999999999975e+00	7.141250e+00
6.599999999999975e+00	7.251156e+00
6.699999999999974e+00	7.361063e+00
6.799999999999974e+00	7.470969e+00
6.899999999999974e+00	7.580876e+00
6.999999999999973e+00	7.690782e+00
7.099999999999973e+00	7.800688e+00
7.199999999999973e+00	7.910594e+00
7.299999999999972e+00	8.020500e+00
7.399999999999972e+00	8.130405e+00
7.499999999999972e+00	8.240256e+00
7.599999999999971e+00	8.346768e+00
7.699999999999971e+00	8.413880e+00
7.799999999999971e+00	8.440445e+00
7.899999999999970e+00	8.454660e+00
7.999999999999970e+00	8.463808e+00
8.099999999999969e+00	8.470598e+00
8.199999999999969e+00	8.475643e+00
8.299999999999969e+00	8.479603e+00
8.399999999999968e+00	8.482770e+00
8.499999999999968e+00	8.485306e+00
8.599999999999968e+00	8.487329e+00
8.699999999999967e+00	8.488935e+00
8.799999999999967e+00	8.490194e+00
8.899999999999967e+00	8.491173e+00
8.999999999999966e+00	8.491924e+00
9.099999999999966e+00	8.492495e+00
9.199999999999966e+00	8.492924e+00
9.299999999999965e+00	8.493244e+00
9.399999999999965e+00	8.493481e+00
9.499999999999964e+00	8.493656e+00
9.599999999999964e+00	8.493784e+00
9.699999999999964e+00	8.493877e+00
9.799999999999963e+00	8.493946e+00
9.899999999999963e+00	8.493996e+00
1.000000000000000e+01	8.494032e+00
Step Information: R=2K
-1.000000000000000e+01	-9.996363e+00
-9.900000000000000e+00	-9.996361e+00
-9.800000000000001e+00	-9.996360e+00
-9.700000000000001e+00	-9.996359e+00
-9.600000000000001e+00	-9.996358e+00
-9.500000000000002e+00	-9.996357e+00
-9.400000000000002e+00	-9.996356e+00
-9.300000000000002e+00	-9.996355e+00
-9.200000000000003e+00	-9.996354e+00
-9.100000000000003e+00	-9.996353e+00
-9.000000000000004e+00	-9.996352e+00
-8.900000000000004e+00	-9.996351e+00
-8.800000000000004e+00	-9.996350e+00
-8.700000000000005e+00	-9.996349e+00
-8.600000000000005e+00	-9.996348e+00
-8.500000000000005e+00	-9.996347e+00
-8.400000000000006e+00	-9.996346e+00
-8.300000000000006e+00	-9.996346e+00
-8.200000000000006e+00	-9.996345e+00
-8.100000000000007e+00	-9.996343e+00
-8.000000000000007e+00	-9.996342e+00
-7.900000000000007e+00	-9.996340e+00
-7.800000000000008e+00	-9.996338e+00
-7.700000000000008e+00	-9.996336e+00
-7.600000000000009e+00	-9.996333e+00
-7.500000000000009e+00	-9.996330e+00
-7.400000000000009e+00	-9.996326e+00
-7.300000000000010e+00	-9.996321e+00
-7.200000000000010e+00	-9.996314e+00
-7.100000000000010e+00	-9.996305e+00
-7.000000000000011e+00	-9.996292e+00
-6.900000000000011e+00	-9.996274e+00
-6.800000000000011e+00	-9.996250e+00
-6.700000000000012e+00	-9.996217e+00
-6.600000000000012e+00	-9.996171e+00
-6.500000000000012e+00	-9.996108e+00
-6.400000000000013e+00	-9.996019e+00
-6.300000000000013e+00	-9.995898e+00
-6.200000000000014e+00	-9.995730e+00
-6.100000000000014e+00	-9.995500e+00
-6.000000000000014e+00	-9.995185e+00
-5.900000000000015e+00	-9.994757e+00
-5.800000000000015e+00	-9.994182e+00
-5.700000000000015e+00	-9.993417e+00
-5.600000000000016e+00	-9.992411e+00
-5.500000000000016e+00	-9.991103e+00
-5.400000000000016e+00	-9.989426e+00
-5.300000000000017e+00	-9.987295e+00
-5.200000000000017e+00	-9.984604e+00
-5.100000000000017e+00	-9.981209e+00
-5.000000000000018e+00	-9.976892e+00
-4.900000000000018e+00	-9.971293e+00
-4.800000000000018e+00	-9.963747e+00
-4.700000000000019e+00	-9.952798e+00
-4.600000000000019e+00	-9.933167e+00
-4.500000000000020e+00	-9.873091e+00
-4.400000000000020e+00	-9.670735e+00
-4.300000000000020e+00	-9.451068e+00
-4.200000000000021e+00	-9.231390e+00
-4.100000000000021e+00	-9.011715e+00
-4.000000000000021e+00	-8.792040e+00
-3.900000000000021e+00	-8.572366e+00
-3.800000000000021e+00	-8.352692e+00
-3.700000000000021e+00	-8.133018e+00
-3.600000000000021e+00	-7.913344e+00
-3.500000000000021e+00	-7.693672e+00
-3.400000000000021e+00	-7.473999e+00
-3.300000000000021e+00	-7.254327e+00
-3.200000000000021e+00	-7.034656e+00
-3.100000000000021e+00	-6.814984e+00
-3.000000000000020e+00	-6.595314e+00
-2.900000000000020e+00	-6.375643e+00
-2.800000000000020e+00	-6.155973e+00
-2.700000000000020e+00	-5.936304e+00
-2.600000000000020e+00	-5.716634e+00
-2.500000000000020e+00	-5.496965e+00
-2.400000000000020e+00	-5.277297e+00
-2.300000000000020e+00	-5.057629e+00
-2.200000000000020e+00	-4.837962e+00
-2.100000000000020e+00	-4.618295e+00
-2.000000000000020e+00	-4.398628e+00
-1.900000000000019e+00	-4.178962e+00
-1.800000000000019e+00	-3.959296e+00
-1.700000000000019e+00	-3.739630e+00
-1.600000000000019e+00	-3.519966e+00
-1.500000000000019e+00	-3.300301e+00
-1.400000000000019e+00	-3.080637e+00
-1.300000000000019e+00	-2.860973e+00
-1.200000000000019e+00	-2.641310e+00
-1.100000000000019e+00	-2.421647e+00
-1.000000000000019e+00	-2.201985e+00
-9.000000000000187e-01	-1.982323e+00
-8.000000000000187e-01	-1.762661e+00
-7.000000000000187e-01	-1.543000e+00
-6.000000000000187e-01	-1.323340e+00
-5.000000000000188e-01	-1.103680e+00
-4.000000000000188e-01	-8.840200e-01
-3.000000000000188e-01	-6.643607e-01
-2.000000000000188e-01	-4.447019e-01
-1.000000000000188e-01	-2.250435e-01
-1.879052469178077e-14	-5.385558e-03
9.999999999998122e-02	2.142719e-01
1.999999999999812e-01	4.339289e-01
2.999999999999812e-01	6.535855e-01
3.999999999999813e-01	8.732416e-01
4.999999999999812e-01	1.092897e+00
5.999999999999812e-01	1.312552e+00
6.999999999999812e-01	1.532207e+00
7.999999999999812e-01	1.751861e+00
8.999999999999811e-01	1.971515e+00
9.999999999999811e-01	2.191169e+00
1.099999999999981e+00	2.410822e+00
1.199999999999981e+00	2.630474e+00
1.299999999999981e+00	2.850126e+00
1.399999999999981e+00	3.069777e+00
1.499999999999982e+00	3.289428e+00
1.599999999999982e+00	3.509079e+00
1.699999999999982e+00	3.728729e+00
1.799999999999982e+00	3.948379e+00
1.899999999999982e+00	4.168028e+00
1.999999999999982e+00	4.387676e+00
2.099999999999982e+00	4.607325e+00
2.199999999999982e+00	4.826972e+00
2.299999999999982e+00	5.046619e+00
2.399999999999982e+00	5.266266e+00
2.499999999999982e+00	5.485912e+00
2.599999999999982e+00	5.705558e+00
2.699999999999982e+00	5.925203e+00
2.799999999999983e+00	6.144848e+00
2.899999999999983e+00	6.364492e+00
2.999999999999983e+00	6.584136e+00
3.099999999999983e+00	6.803780e+00
3.199999999999983e+00	7.023422e+00
3.299999999999983e+00	7.243065e+00
3.399999999999983e+00	7.462707e+00
3.499999999999983e+00	7.682348e+00
3.599999999999983e+00	7.901989e+00
3.699999999999983e+00	8.121628e+00
3.799999999999983e+00	8.336779e+00
3.899999999999983e+00	8.425072e+00
3.999999999999984e+00	8.447946e+00
4.099999999999984e+00	8.460258e+00
4.199999999999983e+00	8.468334e+00
4.299999999999983e+00	8.474342e+00
4.399999999999983e+00	8.478815e+00
4.499999999999982e+00	8.482304e+00
4.599999999999982e+00	8.485060e+00
4.699999999999982e+00	8.487230e+00
4.799999999999981e+00	8.488929e+00
4.899999999999981e+00	8.490244e+00
4.999999999999980e+00	8.491251e+00
5.099999999999980e+00	8.492014e+00
5.199999999999980e+00	8.492584e+00
5.299999999999979e+00	8.493007e+00
5.399999999999979e+00	8.493317e+00
5.499999999999979e+00	8.493543e+00
5.599999999999978e+00	8.493707e+00
5.699999999999978e+00	8.493826e+00
5.799999999999978e+00	8.493911e+00
5.899999999999977e+00	8.493973e+00
5.999999999999977e+00	8.494017e+00
6.099999999999977e+00	8.494048e+00
6.199999999999976e+00	8.494071e+00
6.299999999999976e+00	8.494087e+00
6.399999999999975e+00	8.494099e+00
6.499999999999975e+00	8.494107e+00
6.599999999999975e+00	8.494113e+00
6.699999999999974e+00	8.494118e+00
6.799999999999974e+00	8.494121e+00
6.899999999999974e+00	8.494123e+00
6.999999999999973e+00	8.494124e+00
7.099999999999973e+00	8.494125e+00
7.199999999999973e+00	8.494126e+00
7.299999999999972e+00	8.494127e+00
7.399999999999972e+00	8.494127e+00
7.499999999999972e+00	8.494127e+00
7.599999999999971e+00	8.494128e+00
7.699999999999971e+00	8.494128e+00
7.799999999999971e+00	8.494128e+00
7.899999999999970e+00	8.494128e+00
7.999999999999970e+00	8.494128e+00
8.099999999999969e+00	8.494128e+00
8.199999999999969e+00	8.494128e+00
8.299999999999969e+00	8.494128e+00
8.399999999999968e+00	8.494128e+00
8.499999999999968e+00	8.494128e+00
8.599999999999968e+00	8.494128e+00
8.699999999999967e+00	8.494128e+00
8.799999999999967e+00	8.494128e+00
8.899999999999967e+00	8.494129e+00
8.999999999999966e+00	8.494129e+00
9.099999999999966e+00	8.494129e+00
9.199999999999966e+00	8.494129e+00
9.299999999999965e+00	8.494129e+00
9.399999999999965e+00	8.494129e+00
9.499999999999964e+00	8.494129e+00
9.599999999999964e+00	8.494129e+00
9.699999999999964e+00	8.494129e+00
9.799999999999963e+00	8.494129e+00
9.899999999999963e+00	8.494129e+00
1.000000000000000e+01	8.494129e+00
Step Information: R=5K
-1.000000000000000e+01	-9.996390e+00
-9.900000000000000e+00	-9.996389e+00
-9.800000000000001e+00	-9.996388e+00
-9.700000000000001e+00	-9.996387e+00
-9.600000000000001e+00	-9.996387e+00
-9.500000000000002e+00	-9.996386e+00
-9.400000000000002e+00	-9.996385e+00
-9.300000000000002e+00	-9.996384e+00
-9.200000000000003e+00	-9.996383e+00
-9.100000000000003e+00	-9.996382e+00
-9.000000000000004e+00	-9.996381e+00
-8.900000000000004e+00	-9.996380e+00
-8.800000000000004e+00	-9.996379e+00
-8.700000000000005e+00	-9.996378e+00
-8.600000000000005e+00	-9.996377e+00
-8.500000000000005e+00	-9.996376e+00
-8.400000000000006e+00	-9.996374e+00
-8.300000000000006e+00	-9.996373e+00
-8.200000000000006e+00	-9.996372e+00
-8.100000000000007e+00	-9.996371e+00
-8.000000000000007e+00	-9.996370e+00
-7.900000000000007e+00	-9.996369e+00
-7.800000000000008e+00	-9.996368e+00
-7.700000000000008e+00	-9.996367e+00
-7.600000000000009e+00	-9.996367e+00
-7.500000000000009e+00	-9.996366e+00
-7.400000000000009e+00	-9.996365e+00
-7.300000000000010e+00	-9.996364e+00
-7.200000000000010e+00	-9.996363e+00
-7.100000000000010e+00	-9.996362e+00
-7.000000000000011e+00	-9.996361e+00
-6.900000000000011e+00	-9.996360e+00
-6.800000000000011e+00	-9.996359e+00
-6.700000000000012e+00	-9.996358e+00
-6.600000000000012e+00	-9.996357e+00
-6.500000000000012e+00	-9.996356e+00
-6.400000000000013e+00	-9.996355e+00
-6.300000000000013e+00	-9.996354e+00
-6.200000000000014e+00	-9.996353e+00
-6.100000000000014e+00	-9.996352e+00
-6.000000000000014e+00	-9.996351e+00
-5.900000000000015e+00	-9.996350e+00
-5.800000000000015e+00	-9.996348e+00
-5.700000000000015e+00	-9.996347e+00
-5.600000000000016e+00	-9.996346e+00
-5.500000000000016e+00	-9.996346e+00
-5.400000000000016e+00	-9.996345e+00
-5.300000000000017e+00	-9.996343e+00
-5.200000000000017e+00	-9.996342e+00
-5.100000000000017e+00	-9.996340e+00
-5.000000000000018e+00	-9.996339e+00
-4.900000000000018e+00	-9.996336e+00
-4.800000000000018e+00	-9.996334e+00
-4.700000000000019e+00	-9.996330e+00
-4.600000000000019e+00	-9.996326e+00
-4.500000000000020e+00	-9.996321e+00
-4.400000000000020e+00	-9.996314e+00
-4.300000000000020e+00	-9.996304e+00
-4.200000000000021e+00	-9.996290e+00
-4.100000000000021e+00	-9.996272e+00
-4.000000000000021e+00	-9.996246e+00
-3.900000000000021e+00	-9.996210e+00
-3.800000000000021e+00	-9.996160e+00
-3.700000000000021e+00	-9.996090e+00
-3.600000000000021e+00	-9.995992e+00
-3.500000000000021e+00	-9.995855e+00
-3.400000000000021e+00	-9.995666e+00
-3.300000000000021e+00	-9.995402e+00
-3.200000000000021e+00	-9.995041e+00
-3.100000000000021e+00	-9.994548e+00
-3.000000000000020e+00	-9.993881e+00
-2.900000000000020e+00	-9.992990e+00
-2.800000000000020e+00	-9.991817e+00
-2.700000000000020e+00	-9.990288e+00
-2.600000000000020e+00	-9.988318e+00
-2.500000000000020e+00	-9.985804e+00
-2.400000000000020e+00	-9.982601e+00
-2.300000000000020e+00	-9.978501e+00
-2.200000000000020e+00	-9.973161e+00
-2.100000000000020e+00	-9.965941e+00
-2.000000000000020e+00	-9.955448e+00
-1.900000000000019e+00	-9.936451e+00
-1.800000000000019e+00	-9.855454e+00
