vin	I(Rl)
Step Information: R=1K
-1.000000000000000e+01	-9.158171e-03
-9.900000000000000e+00	-9.148240e-03
-9.800000000000001e+00	-9.137918e-03
-9.700000000000001e+00	-9.127112e-03
-9.600000000000001e+00	-9.115697e-03
-9.500000000000002e+00	-9.103482e-03
-9.400000000000002e+00	-9.090149e-03
-9.300000000000002e+00	-9.075109e-03
-9.200000000000003e+00	-9.056902e-03
-9.100000000000003e+00	-9.031935e-03
-9.000000000000004e+00	-8.985127e-03
-8.900000000000004e+00	-8.895652e-03
-8.800000000000004e+00	-8.795967e-03
-8.700000000000005e+00	-8.696041e-03
-8.600000000000005e+00	-8.596112e-03
-8.500000000000005e+00	-8.496183e-03
-8.400000000000006e+00	-8.396253e-03
-8.300000000000006e+00	-8.296324e-03
-8.200000000000006e+00	-8.196394e-03
-8.100000000000007e+00	-8.096465e-03
-8.000000000000007e+00	-7.996536e-03
-7.900000000000007e+00	-7.896607e-03
-7.800000000000008e+00	-7.796677e-03
-7.700000000000008e+00	-7.696748e-03
-7.600000000000009e+00	-7.596819e-03
-7.500000000000009e+00	-7.496890e-03
-7.400000000000009e+00	-7.396961e-03
-7.300000000000010e+00	-7.297033e-03
-7.200000000000010e+00	-7.197103e-03
-7.100000000000010e+00	-7.097174e-03
-7.000000000000011e+00	-6.997246e-03
-6.900000000000011e+00	-6.897317e-03
-6.800000000000011e+00	-6.797388e-03
-6.700000000000012e+00	-6.697460e-03
-6.600000000000012e+00	-6.597531e-03
-6.500000000000012e+00	-6.497602e-03
-6.400000000000013e+00	-6.397674e-03
-6.300000000000013e+00	-6.297745e-03
-6.200000000000014e+00	-6.197817e-03
-6.100000000000014e+00	-6.097889e-03
-6.000000000000014e+00	-5.997960e-03
-5.900000000000015e+00	-5.898032e-03
-5.800000000000015e+00	-5.798103e-03
-5.700000000000015e+00	-5.698175e-03
-5.600000000000016e+00	-5.598247e-03
-5.500000000000016e+00	-5.498319e-03
-5.400000000000016e+00	-5.398391e-03
-5.300000000000017e+00	-5.298463e-03
-5.200000000000017e+00	-5.198535e-03
-5.100000000000017e+00	-5.098607e-03
-5.000000000000018e+00	-4.998679e-03
-4.900000000000018e+00	-4.898751e-03
-4.800000000000018e+00	-4.798823e-03
-4.700000000000019e+00	-4.698895e-03
-4.600000000000019e+00	-4.598968e-03
-4.500000000000020e+00	-4.499040e-03
-4.400000000000020e+00	-4.399112e-03
-4.300000000000020e+00	-4.299185e-03
-4.200000000000021e+00	-4.199257e-03
-4.100000000000021e+00	-4.099329e-03
-4.000000000000021e+00	-3.999402e-03
-3.900000000000021e+00	-3.899475e-03
-3.800000000000021e+00	-3.799547e-03
-3.700000000000021e+00	-3.699620e-03
-3.600000000000021e+00	-3.599693e-03
-3.500000000000021e+00	-3.499765e-03
-3.400000000000021e+00	-3.399838e-03
-3.300000000000021e+00	-3.299911e-03
-3.200000000000021e+00	-3.199984e-03
-3.100000000000021e+00	-3.100057e-03
-3.000000000000020e+00	-3.000130e-03
-2.900000000000020e+00	-2.900203e-03
-2.800000000000020e+00	-2.800276e-03
-2.700000000000020e+00	-2.700349e-03
-2.600000000000020e+00	-2.600423e-03
-2.500000000000020e+00	-2.500496e-03
-2.400000000000020e+00	-2.400569e-03
-2.300000000000020e+00	-2.300642e-03
-2.200000000000020e+00	-2.200716e-03
-2.100000000000020e+00	-2.100789e-03
-2.000000000000020e+00	-2.000863e-03
-1.900000000000019e+00	-1.900936e-03
-1.800000000000019e+00	-1.801010e-03
-1.700000000000019e+00	-1.701083e-03
-1.600000000000019e+00	-1.601157e-03
-1.500000000000019e+00	-1.501231e-03
-1.400000000000019e+00	-1.401305e-03
-1.300000000000019e+00	-1.301378e-03
-1.200000000000019e+00	-1.201452e-03
-1.100000000000019e+00	-1.101526e-03
-1.000000000000019e+00	-1.001600e-03
-9.000000000000187e-01	-9.016742e-04
-8.000000000000187e-01	-8.017482e-04
-7.000000000000187e-01	-7.018223e-04
-6.000000000000187e-01	-6.018965e-04
-5.000000000000188e-01	-5.019707e-04
-4.000000000000188e-01	-4.020449e-04
-3.000000000000188e-01	-3.021192e-04
-2.000000000000188e-01	-2.021936e-04
-1.000000000000188e-01	-1.022680e-04
-1.879052469178077e-14	-2.342424e-06
9.999999999998122e-02	9.758308e-05
1.999999999999812e-01	1.975085e-04
2.999999999999812e-01	2.974340e-04
3.999999999999813e-01	3.973593e-04
4.999999999999812e-01	4.972846e-04
5.999999999999812e-01	5.972098e-04
6.999999999999812e-01	6.971351e-04
7.999999999999812e-01	7.970603e-04
8.999999999999811e-01	8.969854e-04
9.999999999999811e-01	9.969104e-04
1.099999999999981e+00	1.096835e-03
1.199999999999981e+00	1.196760e-03
1.299999999999981e+00	1.296685e-03
1.399999999999981e+00	1.396610e-03
1.499999999999982e+00	1.496535e-03
1.599999999999982e+00	1.596460e-03
1.699999999999982e+00	1.696384e-03
1.799999999999982e+00	1.796309e-03
1.899999999999982e+00	1.896234e-03
1.999999999999982e+00	1.996158e-03
2.099999999999982e+00	2.096083e-03
2.199999999999982e+00	2.196007e-03
2.299999999999982e+00	2.295932e-03
2.399999999999982e+00	2.395856e-03
2.499999999999982e+00	2.495780e-03
2.599999999999982e+00	2.595705e-03
2.699999999999982e+00	2.695629e-03
2.799999999999983e+00	2.795553e-03
2.899999999999983e+00	2.895477e-03
2.999999999999983e+00	2.995401e-03
3.099999999999983e+00	3.095325e-03
3.199999999999983e+00	3.195249e-03
3.299999999999983e+00	3.295173e-03
3.399999999999983e+00	3.395097e-03
3.499999999999983e+00	3.495021e-03
3.599999999999983e+00	3.594944e-03
3.699999999999983e+00	3.694868e-03
3.799999999999983e+00	3.794792e-03
3.899999999999983e+00	3.894715e-03
3.999999999999984e+00	3.994639e-03
4.099999999999984e+00	4.094562e-03
4.199999999999983e+00	4.194485e-03
4.299999999999983e+00	4.294409e-03
4.399999999999983e+00	4.394332e-03
4.499999999999982e+00	4.494255e-03
4.599999999999982e+00	4.594179e-03
4.699999999999982e+00	4.694102e-03
4.799999999999981e+00	4.794025e-03
4.899999999999981e+00	4.893948e-03
4.999999999999980e+00	4.993871e-03
5.099999999999980e+00	5.093794e-03
5.199999999999980e+00	5.193717e-03
5.299999999999979e+00	5.293640e-03
