time	V(vin)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	-1.471202e-01	1.786869e-04
1.724768765699559e-08	4.334817e-04	-1.471230e-01	1.764030e-04
3.449537531399118e-08	8.669634e-04	-1.471042e-01	1.951280e-04
5.174306297098677e-08	1.300445e-03	-1.470638e-01	2.348619e-04
6.899075062798236e-08	1.733927e-03	-1.470018e-01	2.956047e-04
8.623843828497794e-08	2.167408e-03	-1.469181e-01	3.773564e-04
1.034861259419735e-07	2.600890e-03	-1.468128e-01	4.801171e-04
1.207338135989691e-07	3.034371e-03	-1.466859e-01	6.038866e-04
1.769400660259544e-07	4.446988e-03	-1.460198e-01	1.235445e-03
2.380948671044396e-07	5.983974e-03	-1.448715e-01	2.270255e-03
3.339011436297805e-07	8.391845e-03	-1.421986e-01	4.476139e-03
4.693208277195291e-07	1.179530e-02	-1.369225e-01	8.268450e-03
6.424748480163790e-07	1.614711e-02	-1.279764e-01	1.362338e-02
8.291549429109630e-07	2.083884e-02	-1.157829e-01	1.954461e-02
1.019213538408534e-06	2.561546e-02	-1.004058e-01	2.551904e-02
1.281544365240821e-06	3.220838e-02	-7.338492e-02	3.368844e-02
1.806206018905397e-06	4.539393e-02	-3.819790e-03	5.006958e-02
2.406321954654660e-06	6.047516e-02	9.951317e-02	6.883124e-02
3.312245089988055e-06	8.323979e-02	2.863519e-01	9.590159e-02
3.783581826829915e-06	9.508283e-02	3.822401e-01	1.067387e-01
4.218008259414468e-06	1.059977e-01	4.538565e-01	1.123366e-01
4.362865185455073e-06	1.096370e-01	4.695790e-01	1.132771e-01
4.522666857036401e-06	1.136517e-01	4.805908e-01	1.143205e-01
4.626125712275473e-06	1.162509e-01	4.862534e-01	1.154913e-01
4.744715223596612e-06	1.192300e-01	4.917690e-01	1.174163e-01
4.886981779976444e-06	1.228039e-01	4.976861e-01	1.202712e-01
5.152827010569486e-06	1.294820e-01	5.078013e-01	1.263224e-01
5.400128784946907e-06	1.356940e-01	5.166574e-01	1.323023e-01
5.716121546313707e-06	1.436309e-01	5.275307e-01	1.401404e-01
6.082562783311807e-06	1.528343e-01	5.398187e-01	1.492814e-01
6.815445257308008e-06	1.712385e-01	5.637246e-01	1.675984e-01
7.976479243288521e-06	2.003869e-01	6.002750e-01	1.966443e-01
1.029854721524955e-05	2.586501e-01	6.702617e-01	2.547648e-01
1.420479721524955e-05	3.565317e-01	7.832905e-01	3.524990e-01
1.811104721524955e-05	4.541985e-01	8.926075e-01	4.500868e-01
2.592354721524955e-05	6.486527e-01	1.103814e+00	6.444543e-01
3.373604721524956e-05	8.426675e-01	1.308712e+00	8.384328e-01
4.154854721524957e-05	1.033525e+00	1.509234e+00	1.029269e+00
4.936104721524958e-05	1.221226e+00	1.705381e+00	1.216962e+00
5.717354721524958e-05	1.405770e+00	1.897152e+00	1.401513e+00
6.498604721524959e-05	1.587156e+00	2.084548e+00	1.582921e+00
7.279854721524960e-05	1.765386e+00	2.267568e+00	1.761187e+00
8.061104721524959e-05	1.940458e+00	2.446213e+00	1.936310e+00
9.511997578667818e-05	2.256152e+00	2.768417e+00	2.252123e+00
1.096289043581068e-04	2.547652e+00	3.065699e+00	2.543770e+00
1.241378329295353e-04	2.814957e+00	3.338057e+00	2.811253e+00
1.386467615009639e-04	3.058067e+00	3.585492e+00	3.054569e+00
1.531556900723925e-04	3.276982e+00	3.808005e+00	3.273721e+00
1.676646186438211e-04	3.471703e+00	4.005594e+00	3.468707e+00
1.821735472152497e-04	3.642229e+00	4.178261e+00	3.639527e+00
2.072851543581068e-04	3.854698e+00	4.394012e+00	3.852586e+00
2.323967615009640e-04	3.971217e+00	4.512593e+00	3.969703e+00
