vin	V(vo1)	V(vo2)
-1.000000000000000e+01	-9.996410e+00	-9.996410e+00
-9.990000000000000e+00	-9.996409e+00	-9.996409e+00
-9.980000000000000e+00	-9.996408e+00	-9.996408e+00
-9.970000000000001e+00	-9.996407e+00	-9.996407e+00
-9.960000000000001e+00	-9.996406e+00	-9.996406e+00
-9.950000000000001e+00	-9.996405e+00	-9.996405e+00
-9.940000000000001e+00	-9.996404e+00	-9.996403e+00
-9.930000000000001e+00	-9.996403e+00	-9.996401e+00
-9.920000000000002e+00	-9.996402e+00	-9.996400e+00
-9.910000000000002e+00	-9.996401e+00	-9.996397e+00
-9.900000000000002e+00	-9.996400e+00	-9.996394e+00
-9.890000000000002e+00	-9.996399e+00	-9.996391e+00
-9.880000000000003e+00	-9.996397e+00	-9.996387e+00
-9.870000000000003e+00	-9.996396e+00	-9.996381e+00
-9.860000000000003e+00	-9.996395e+00	-9.996371e+00
-9.850000000000003e+00	-9.996394e+00	-9.996360e+00
-9.840000000000003e+00	-9.996393e+00	-9.996342e+00
-9.830000000000004e+00	-9.996392e+00	-9.996317e+00
-9.820000000000004e+00	-9.996391e+00	-9.996281e+00
-9.810000000000004e+00	-9.996390e+00	-9.996227e+00
-9.800000000000004e+00	-9.996388e+00	-9.996151e+00
-9.790000000000004e+00	-9.996387e+00	-9.996039e+00
-9.780000000000005e+00	-9.996387e+00	-9.995879e+00
-9.770000000000005e+00	-9.996386e+00	-9.995647e+00
-9.760000000000005e+00	-9.996385e+00	-9.995317e+00
-9.750000000000005e+00	-9.996384e+00	-9.994852e+00
-9.740000000000006e+00	-9.996383e+00	-9.994204e+00
-9.730000000000006e+00	-9.996382e+00	-9.993318e+00
-9.720000000000006e+00	-9.996380e+00	-9.992129e+00
-9.710000000000006e+00	-9.996379e+00	-9.990568e+00
-9.700000000000006e+00	-9.996378e+00	-9.988558e+00
-9.690000000000007e+00	-9.996377e+00	-9.986012e+00
-9.680000000000007e+00	-9.996376e+00	-9.982828e+00
-9.670000000000007e+00	-9.996375e+00	-9.978874e+00
-9.660000000000007e+00	-9.996374e+00	-9.973964e+00
-9.650000000000007e+00	-9.996373e+00	-9.967821e+00
-9.640000000000008e+00	-9.996371e+00	-9.960021e+00
-9.630000000000008e+00	-9.996370e+00	-9.949834e+00
-9.620000000000008e+00	-9.996369e+00	-9.936384e+00
-9.610000000000008e+00	-9.996368e+00	-9.918506e+00
-9.600000000000009e+00	-9.996367e+00	-9.895768e+00
-9.590000000000009e+00	-9.996367e+00	-9.869288e+00
-9.580000000000009e+00	-9.996366e+00	-9.840858e+00
-9.570000000000009e+00	-9.996365e+00	-9.811653e+00
-9.560000000000009e+00	-9.996363e+00	-9.782182e+00
-9.550000000000010e+00	-9.996362e+00	-9.752621e+00
-9.540000000000010e+00	-9.996361e+00	-9.723031e+00
-9.530000000000010e+00	-9.996360e+00	-9.693431e+00
-9.520000000000010e+00	-9.996359e+00	-9.663826e+00
-9.510000000000010e+00	-9.996358e+00	-9.634218e+00
-9.500000000000011e+00	-9.996357e+00	-9.604609e+00
-9.490000000000011e+00	-9.996356e+00	-9.574998e+00
-9.480000000000011e+00	-9.996355e+00	-9.545385e+00
-9.470000000000011e+00	-9.996353e+00	-9.515771e+00
-9.460000000000012e+00	-9.996352e+00	-9.486156e+00
-9.450000000000012e+00	-9.996351e+00	-9.456538e+00
-9.440000000000012e+00	-9.996350e+00	-9.426919e+00
-9.430000000000012e+00	-9.996349e+00	-9.397299e+00
-9.420000000000012e+00	-9.996348e+00	-9.367678e+00
-9.410000000000013e+00	-9.996347e+00	-9.338054e+00
-9.400000000000013e+00	-9.996346e+00	-9.308430e+00
-9.390000000000013e+00	-9.996345e+00	-9.278803e+00
-9.380000000000013e+00	-9.996344e+00	-9.249176e+00
-9.370000000000013e+00	-9.996343e+00	-9.219546e+00
-9.360000000000014e+00	-9.996342e+00	-9.189917e+00
-9.350000000000014e+00	-9.996341e+00	-9.160284e+00
-9.340000000000014e+00	-9.996340e+00	-9.130651e+00
-9.330000000000014e+00	-9.996339e+00	-9.101016e+00
-9.320000000000014e+00	-9.996338e+00	-9.071381e+00
-9.310000000000015e+00	-9.996336e+00	-9.041743e+00
