v2	V(vo1)	V(vo2)
-1.000000000000000e+01	-9.996410e+00	-9.996410e+00
-9.900000000000000e+00	-9.996400e+00	-9.996400e+00
-9.800000000000001e+00	-9.996388e+00	-9.996389e+00
-9.700000000000001e+00	-9.996378e+00	-9.996378e+00
-9.600000000000001e+00	-9.996367e+00	-9.996367e+00
-9.500000000000002e+00	-9.996357e+00	-9.996357e+00
-9.400000000000002e+00	-9.996346e+00	-9.996346e+00
-9.300000000000002e+00	-9.996335e+00	-9.996335e+00
-9.200000000000003e+00	-9.996325e+00	-9.996325e+00
-9.100000000000003e+00	-9.996314e+00	-9.996314e+00
-9.000000000000004e+00	-9.996304e+00	-9.996294e+00
-8.900000000000004e+00	-9.996292e+00	-9.995879e+00
-8.800000000000004e+00	-9.996282e+00	-9.984605e+00
-8.700000000000005e+00	-9.996271e+00	-9.868856e+00
-8.600000000000005e+00	-9.996260e+00	-9.603891e+00
-8.500000000000005e+00	-9.996249e+00	-9.337144e+00
-8.400000000000006e+00	-9.996239e+00	-9.070511e+00
-8.300000000000006e+00	-9.996228e+00	-8.803880e+00
-8.200000000000006e+00	-9.996217e+00	-8.537249e+00
-8.100000000000007e+00	-9.996206e+00	-8.270617e+00
-8.000000000000007e+00	-9.996196e+00	-8.003986e+00
-7.900000000000007e+00	-9.996184e+00	-7.737355e+00
-7.800000000000008e+00	-9.996174e+00	-7.470724e+00
-7.700000000000008e+00	-9.996163e+00	-7.204093e+00
-7.600000000000009e+00	-9.996153e+00	-6.937461e+00
-7.500000000000009e+00	-9.996141e+00	-6.670831e+00
-7.400000000000009e+00	-9.996131e+00	-6.404200e+00
-7.300000000000010e+00	-9.996120e+00	-6.137568e+00
-7.200000000000010e+00	-9.996109e+00	-5.870937e+00
-7.100000000000010e+00	-9.996099e+00	-5.604307e+00
-7.000000000000011e+00	-9.996087e+00	-5.337676e+00
-6.900000000000011e+00	-9.996077e+00	-5.071045e+00
-6.800000000000011e+00	-9.996066e+00	-4.804414e+00
-6.700000000000012e+00	-9.996055e+00	-4.537783e+00
-6.600000000000012e+00	-9.996044e+00	-4.271152e+00
-6.500000000000012e+00	-9.996034e+00	-4.004521e+00
-6.400000000000013e+00	-9.996022e+00	-3.737890e+00
-6.300000000000013e+00	-9.996012e+00	-3.471260e+00
-6.200000000000014e+00	-9.996001e+00	-3.204629e+00
-6.100000000000014e+00	-9.995990e+00	-2.937998e+00
-6.000000000000014e+00	-9.995979e+00	-2.671367e+00
-5.900000000000015e+00	-9.995968e+00	-2.404737e+00
