v2	V(vo1)
-5.000000000000000e+00	2.498699e+00
-4.900000000000000e+00	2.498696e+00
-4.800000000000001e+00	2.498693e+00
-4.700000000000001e+00	2.498691e+00
-4.600000000000001e+00	2.498688e+00
-4.500000000000002e+00	2.498685e+00
-4.400000000000002e+00	2.498682e+00
-4.300000000000002e+00	2.498680e+00
-4.200000000000003e+00	2.498677e+00
-4.100000000000003e+00	2.498674e+00
-4.000000000000004e+00	2.498672e+00
-3.900000000000003e+00	2.498669e+00
-3.800000000000003e+00	2.498666e+00
-3.700000000000003e+00	2.498663e+00
-3.600000000000003e+00	2.498661e+00
-3.500000000000003e+00	2.498658e+00
-3.400000000000003e+00	2.498655e+00
-3.300000000000003e+00	2.498652e+00
-3.200000000000003e+00	2.498650e+00
-3.100000000000003e+00	2.498647e+00
-3.000000000000003e+00	2.498644e+00
-2.900000000000003e+00	2.498641e+00
-2.800000000000002e+00	2.498638e+00
-2.700000000000002e+00	2.498620e+00
-2.600000000000002e+00	2.497950e+00
-2.500000000000002e+00	2.486693e+00
-2.400000000000002e+00	2.399523e+00
-2.300000000000002e+00	2.299442e+00
-2.200000000000002e+00	2.199454e+00
-2.100000000000002e+00	2.099466e+00
-2.000000000000002e+00	1.999479e+00
-1.900000000000002e+00	1.899491e+00
-1.800000000000002e+00	1.799504e+00
-1.700000000000002e+00	1.699517e+00
-1.600000000000001e+00	1.599529e+00
-1.500000000000001e+00	1.499542e+00
-1.400000000000001e+00	1.399555e+00
-1.300000000000001e+00	1.299567e+00
-1.200000000000001e+00	1.199580e+00
-1.100000000000001e+00	1.099593e+00
-1.000000000000001e+00	9.996057e-01
-9.000000000000009e-01	8.996184e-01
-8.000000000000009e-01	7.996311e-01
-7.000000000000010e-01	6.996439e-01
-6.000000000000010e-01	5.996566e-01
-5.000000000000010e-01	4.996694e-01
-4.000000000000010e-01	3.996822e-01
-3.000000000000010e-01	2.996950e-01
-2.000000000000010e-01	1.997077e-01
-1.000000000000010e-01	9.972052e-02
-1.026956297778270e-15	-2.666963e-04
9.999999999999898e-02	-1.002539e-01
1.999999999999990e-01	-2.002411e-01
2.999999999999990e-01	-3.002283e-01
3.999999999999990e-01	-4.002155e-01
4.999999999999990e-01	-5.002027e-01
5.999999999999990e-01	-6.001898e-01
6.999999999999990e-01	-7.001770e-01
7.999999999999989e-01	-8.001641e-01
8.999999999999989e-01	-9.001513e-01
9.999999999999989e-01	-1.000138e+00
1.099999999999999e+00	-1.100126e+00
1.199999999999999e+00	-1.200113e+00
1.299999999999999e+00	-1.300100e+00
1.399999999999999e+00	-1.400087e+00
1.499999999999999e+00	-1.500074e+00
1.599999999999999e+00	-1.600061e+00
1.700000000000000e+00	-1.700048e+00
1.800000000000000e+00	-1.800035e+00
1.900000000000000e+00	-1.900022e+00
2.000000000000000e+00	-2.000010e+00
2.100000000000000e+00	-2.098468e+00
2.200000000000000e+00	-2.122515e+00
2.300000000000000e+00	-2.123979e+00
2.400000000000000e+00	-2.124018e+00
2.500000000000000e+00	-2.124017e+00
2.600000000000000e+00	-2.124017e+00
2.700000000000000e+00	-2.124017e+00
2.800000000000000e+00	-2.124017e+00
2.900000000000000e+00	-2.124017e+00
3.000000000000000e+00	-2.124017e+00
3.100000000000001e+00	-2.124017e+00
3.200000000000001e+00	-2.124017e+00
3.300000000000001e+00	-2.124017e+00
3.400000000000001e+00	-2.124017e+00
3.500000000000001e+00	-2.124017e+00
3.600000000000001e+00	-2.124017e+00
3.700000000000001e+00	-2.124017e+00
3.800000000000001e+00	-2.124017e+00
3.900000000000001e+00	-2.124017e+00
4.000000000000001e+00	-2.124017e+00
4.100000000000001e+00	-2.124017e+00
4.200000000000000e+00	-2.124017e+00
4.300000000000000e+00	-2.124017e+00
4.399999999999999e+00	-2.124017e+00
4.499999999999999e+00	-2.124017e+00
4.599999999999999e+00	-2.124017e+00
4.699999999999998e+00	-2.124017e+00
4.799999999999998e+00	-2.124017e+00
4.899999999999998e+00	-2.124017e+00
5.000000000000000e+00	-2.124017e+00
