Freq.	V(vo3)/V(Vin3)
1.00000000000000e+02	(2.95180047647307e+01dB,1.77765835530201e+02°)
1.25892541179417e+02	(2.95141570979277e+01dB,1.77188183113713e+02°)
1.58489319246111e+02	(2.95080659310866e+01dB,1.76461785144658e+02°)
1.99526231496888e+02	(2.94984295477606e+01dB,1.75548942167527e+02°)
2.51188643150958e+02	(2.94832005728482e+01dB,1.74402993590087e+02°)
3.16227766016838e+02	(2.94591731314279e+01dB,1.72966771542875e+02°)
3.98107170553497e+02	(2.94213624229840e+01dB,1.71171378082812e+02°)
5.01187233627272e+02	(2.93621027408253e+01dB,1.68935994062404e+02°)
6.30957344480193e+02	(2.92698080271768e+01dB,1.66170046786767e+02°)
7.94328234724282e+02	(2.91274335497763e+01dB,1.62779946518429e+02°)
1.00000000000000e+03	(2.89109310805291e+01dB,1.58683447412347e+02°)
1.25892541179417e+03	(2.85884823703408e+01dB,1.53834388871970e+02°)
1.58489319246111e+03	(2.81219286507027e+01dB,1.48256831951395e+02°)
1.99526231496888e+03	(2.74719780294145e+01dB,1.42078315251622e+02°)
2.51188643150958e+03	(2.66073304285365e+01dB,1.35540559615628e+02°)
3.16227766016838e+03	(2.55145331473177e+01dB,1.28966374654793e+02°)
3.98107170553498e+03	(2.42028926800644e+01dB,1.22686195641978e+02°)
5.01187233627273e+03	(2.27010332749795e+01dB,1.16960353999582e+02°)
6.30957344480194e+03	(2.10475261013056e+01dB,1.11936992718846e+02°)
7.94328234724282e+03	(1.92812688101698e+01dB,1.07655690990193e+02°)
1.00000000000000e+04	(1.74354699965004e+01dB,1.04078301526546e+02°)
1.25892541179417e+04	(1.55356138475420e+01dB,1.01123947341031e+02°)
1.58489319246111e+04	(1.35999367925037e+01dB,9.86956363325610e+01°)
1.99526231496888e+04	(1.16409011391613e+01dB,9.66961929439850e+01°)
2.51188643150958e+04	(9.66676252604674e+00dB,9.50358959913988e+01°)
3.16227766016838e+04	(7.68286429425048e+00dB,9.36349481575065e+01°)
3.98107170553498e+04	(5.69258561411454e+00dB,9.24231502246944e+01°)
5.01187233627273e+04	(3.69798628528149e+00dB,9.13382343314706e+01°)
6.30957344480194e+04	(1.70021706395156e+00dB,9.03236349102370e+01°)
7.94328234724283e+04	(-3.00245376648154e-01dB,8.93260650009467e+01°)
1.00000000000000e+05	(-2.30349991565899e+00dB,8.82930435756229e+01°)
1.25892541179417e+05	(-4.31024148135600e+00dB,8.71704170300392e+01°)
1.58489319246112e+05	(-6.32190424711572e+00dB,8.58998954592253e+01°)
1.99526231496888e+05	(-8.34095241938591e+00dB,8.44166722728433e+01°)
2.51188643150958e+05	(-1.03713650112481e+01dB,8.26473339112154e+01°)
3.16227766016838e+05	(-1.24193791353149e+01dB,8.05085454396239e+01°)
3.98107170553498e+05	(-1.44945576889720e+01dB,7.79074942432990e+01°)
5.01187233627273e+05	(-1.66111978855003e+01dB,7.47458483757720e+01°)
6.30957344480194e+05	(-1.87899298727684e+01dB,7.09299272931535e+01°)
7.94328234724283e+05	(-2.10589780592884e+01dB,6.63902282600230e+01°)
1.00000000000000e+06	(-2.34539538014253e+01dB,6.11116486983341e+01°)
1.25892541179417e+06	(-2.60145475340440e+01dB,5.51691029152346e+01°)
1.58489319246112e+06	(-2.87770472440783e+01dB,4.87517266185448e+01°)
1.99526231496888e+06	(-3.17641904978643e+01dB,4.21515969568685e+01°)
2.51188643150959e+06	(-3.49772721264601e+01dB,3.57061173359357e+01°)
3.16227766016839e+06	(-3.83956583288182e+01dB,2.97165245782555e+01°)
3.98107170553498e+06	(-4.19840530463939e+01dB,2.43858536367441e+01°)
5.01187233627273e+06	(-4.57026846713162e+01dB,1.98025475168008e+01°)
6.30957344480195e+06	(-4.95152251055724e+01dB,1.59619522483092e+01°)
7.94328234724283e+06	(-5.33925354962469e+01dB,1.28018315231197e+01°)
1.00000000000000e+07	(-5.73131287014450e+01dB,1.02337908420304e+01°)
1.25892541179417e+07	(-6.12619920822967e+01dB,8.16420569867857e+00°)
1.58489319246112e+07	(-6.52289724995730e+01dB,6.50554530576599e+00°)
1.99526231496888e+07	(-6.92073049600823e+01dB,5.18120324079243e+00°)
2.51188643150959e+07	(-7.31924595540191e+01dB,4.12664464039113e+00°)
3.16227766016839e+07	(-7.71812916156628e+01dB,3.28874898200361e+00°)
3.98107170553498e+07	(-8.11714157864851e+01dB,2.62442661726753e+00°)
5.01187233627274e+07	(-8.51607137206381e+01dB,2.09906408592319e+00°)
6.30957344480195e+07	(-8.91468888785423e+01dB,1.68505376494017e+00°)
7.94328234724284e+07	(-9.31269830128520e+01dB,1.36050540563469e+00°)
1.00000000000000e+08	(-9.70967608654442e+01dB,1.10815844143221e+00°)
