v9	V(vo8)
-2.000000000000000e+00	8.493839e+00
-1.990000000000000e+00	8.493799e+00
-1.980000000000000e+00	8.493758e+00
-1.970000000000000e+00	8.493717e+00
-1.960000000000000e+00	8.493675e+00
-1.950000000000000e+00	8.493631e+00
-1.940000000000000e+00	8.493587e+00
-1.930000000000000e+00	8.493542e+00
-1.920000000000000e+00	8.493495e+00
-1.910000000000000e+00	8.493447e+00
-1.900000000000000e+00	8.493399e+00
-1.890000000000000e+00	8.493348e+00
-1.880000000000000e+00	8.493297e+00
-1.870000000000000e+00	8.493244e+00
-1.860000000000000e+00	8.493190e+00
-1.850000000000000e+00	8.493135e+00
-1.840000000000000e+00	8.493078e+00
-1.830000000000000e+00	8.493021e+00
-1.820000000000000e+00	8.492962e+00
-1.810000000000000e+00	8.492901e+00
-1.800000000000000e+00	8.492839e+00
-1.790000000000000e+00	8.492776e+00
-1.780000000000000e+00	8.492710e+00
-1.770000000000000e+00	8.492644e+00
-1.760000000000000e+00	8.492576e+00
-1.750000000000000e+00	8.492506e+00
-1.740000000000000e+00	8.492435e+00
-1.730000000000000e+00	8.492362e+00
-1.720000000000000e+00	8.492288e+00
-1.710000000000000e+00	8.492211e+00
-1.700000000000000e+00	8.492133e+00
-1.690000000000000e+00	8.492054e+00
-1.680000000000000e+00	8.491972e+00
-1.670000000000000e+00	8.491889e+00
-1.660000000000000e+00	8.491803e+00
-1.650000000000000e+00	8.491716e+00
-1.640000000000000e+00	8.491627e+00
-1.630000000000000e+00	8.491536e+00
-1.620000000000000e+00	8.491443e+00
-1.610000000000000e+00	8.491347e+00
-1.600000000000000e+00	8.491250e+00
-1.590000000000000e+00	8.491151e+00
-1.580000000000000e+00	8.491050e+00
-1.570000000000000e+00	8.490946e+00
-1.560000000000000e+00	8.490840e+00
-1.550000000000000e+00	8.490731e+00
-1.540000000000000e+00	8.490621e+00
-1.530000000000000e+00	8.490508e+00
-1.520000000000000e+00	8.490393e+00
-1.510000000000000e+00	8.490274e+00
-1.500000000000000e+00	8.490154e+00
-1.490000000000000e+00	8.490032e+00
-1.480000000000000e+00	8.489906e+00
-1.470000000000000e+00	8.489779e+00
-1.460000000000000e+00	8.489648e+00
-1.450000000000000e+00	8.489514e+00
-1.440000000000000e+00	8.489378e+00
-1.429999999999999e+00	8.489240e+00
-1.419999999999999e+00	8.489098e+00
-1.409999999999999e+00	8.488953e+00
-1.399999999999999e+00	8.488805e+00
-1.389999999999999e+00	8.488654e+00
-1.379999999999999e+00	8.488501e+00
-1.369999999999999e+00	8.488344e+00
-1.359999999999999e+00	8.488184e+00
-1.349999999999999e+00	8.488021e+00
-1.339999999999999e+00	8.487854e+00
-1.329999999999999e+00	8.487684e+00
-1.319999999999999e+00	8.487512e+00
-1.309999999999999e+00	8.487334e+00
-1.299999999999999e+00	8.487155e+00
-1.289999999999999e+00	8.486971e+00
-1.279999999999999e+00	8.486783e+00
-1.269999999999999e+00	8.486592e+00
-1.259999999999999e+00	8.486398e+00
-1.249999999999999e+00	8.486198e+00
-1.239999999999999e+00	8.485996e+00
-1.229999999999999e+00	8.485789e+00
-1.219999999999999e+00	8.485579e+00
-1.209999999999999e+00	8.485364e+00
-1.199999999999999e+00	8.485145e+00
-1.189999999999999e+00	8.484921e+00
-1.179999999999999e+00	8.484694e+00
-1.169999999999999e+00	8.484462e+00
-1.159999999999999e+00	8.484224e+00
-1.149999999999999e+00	8.483983e+00
-1.139999999999999e+00	8.483737e+00
-1.129999999999999e+00	8.483486e+00
-1.119999999999999e+00	8.483230e+00
-1.109999999999999e+00	8.482969e+00
-1.099999999999999e+00	8.482702e+00
-1.089999999999999e+00	8.482431e+00
-1.079999999999999e+00	8.482154e+00
-1.069999999999999e+00	8.481872e+00
-1.059999999999999e+00	8.481584e+00
-1.049999999999999e+00	8.481289e+00
-1.039999999999999e+00	8.480989e+00
-1.029999999999999e+00	8.480683e+00
-1.019999999999999e+00	8.480371e+00
-1.009999999999999e+00	8.480053e+00
-9.999999999999991e-01	8.479728e+00
-9.899999999999991e-01	8.479396e+00
-9.799999999999991e-01	8.479056e+00
-9.699999999999991e-01	8.478711e+00
-9.599999999999991e-01	8.478357e+00
-9.499999999999991e-01	8.477997e+00
-9.399999999999991e-01	8.477629e+00
-9.299999999999990e-01	8.477252e+00
-9.199999999999990e-01	8.476868e+00
-9.099999999999990e-01	8.476475e+00
-8.999999999999990e-01	8.476073e+00
-8.899999999999990e-01	8.475663e+00
