time	V(vin4)	V(vo4)
0.000000000000000e+00	-2.502934e-06	-6.097308e-01
9.999999960041972e-12	9.155072e-01	-6.097307e-01
1.999999992008394e-11	9.155072e-01	-6.097307e-01
2.942857131098067e-09	9.155072e-01	-6.097562e-01
5.865714262276050e-09	9.155072e-01	-6.098201e-01
8.788571393454033e-09	9.155072e-01	-6.099222e-01
1.171142852463202e-08	9.155071e-01	-6.100626e-01
1.463428565581000e-08	9.155071e-01	-6.102412e-01
1.755714278698798e-08	9.155070e-01	-6.104582e-01
2.047999991816596e-08	9.155070e-01	-6.107134e-01
4.095999983633192e-08	9.155064e-01	-6.131322e-01
6.961977130928241e-08	9.155053e-01	-6.181861e-01
1.093043625926989e-07	9.155030e-01	-6.275983e-01
1.624569221520270e-07	9.154993e-01	-6.429896e-01
2.302479102537208e-07	9.154940e-01	-6.652317e-01
3.114418247006014e-07	9.154871e-01	-6.938118e-01
5.545713433961011e-07	9.154658e-01	-7.830175e-01
7.601634187612589e-07	9.154476e-01	-8.590700e-01
1.094926628548265e-06	9.154181e-01	-9.826286e-01
1.764453048122276e-06	9.153593e-01	-1.228503e+00
2.764453048122276e-06	9.152722e-01	-1.593174e+00
3.764453048122276e-06	9.151859e-01	-1.954692e+00
4.764453048122276e-06	9.151005e-01	-2.312754e+00
5.764453048122276e-06	9.150159e-01	-2.667337e+00
6.764453048122275e-06	9.149321e-01	-3.018423e+00
7.764453048122276e-06	9.148492e-01	-3.365992e+00
8.764453048122276e-06	9.147671e-01	-3.710028e+00
9.764453048122277e-06	9.146859e-01	-4.050519e+00
1.076445304812228e-05	9.146055e-01	-4.387450e+00
1.176445304812228e-05	9.145260e-01	-4.720812e+00
1.376445304812228e-05	9.143696e-01	-5.376797e+00
1.576445304812228e-05	9.142165e-01	-6.018428e+00
1.876445304812228e-05	9.139934e-01	-6.953930e+00
1.976445304812228e-05	9.139208e-01	-7.258586e+00
2.076445304812228e-05	9.138490e-01	-7.559660e+00
2.276445304812228e-05	9.137080e-01	-8.151091e+00
2.362159590526514e-05	9.136485e-01	-8.406818e+00
2.447873876240800e-05	9.135897e-01	-8.655690e+00
2.533588161955086e-05	9.135315e-01	-8.897705e+00
2.619302447669371e-05	9.134740e-01	-9.132863e+00
2.705016733383657e-05	9.134173e-01	-9.361165e+00
2.790731019097943e-05	9.133611e-01	-9.582611e+00
2.876445304812229e-05	9.133057e-01	-9.797200e+00
2.976445304812229e-05	9.132801e-01	-9.921957e+00
3.162159590526514e-05	9.132750e-01	-9.946063e+00
3.347873876240799e-05	9.132706e-01	-9.964866e+00
3.533588161955085e-05	9.132669e-01	-9.978367e+00
3.719302447669370e-05	9.132640e-01	-9.986566e+00
3.905016733383655e-05	9.132618e-01	-9.989462e+00
4.090731019097940e-05	9.132604e-01	-9.987056e+00
4.276445304812225e-05	9.132597e-01	-9.979347e+00
4.847873876240795e-05	9.132545e-01	-9.979364e+00
5.419302447669365e-05	9.132493e-01	-9.979377e+00
5.990731019097936e-05	9.132441e-01	-9.979386e+00
6.562159590526505e-05	9.132388e-01	-9.979391e+00
7.133588161955075e-05	9.132336e-01	-9.979393e+00
7.705016733383646e-05	9.132284e-01	-9.979391e+00
8.276445304812214e-05	9.132231e-01	-9.979384e+00
9.147873876240784e-05	9.132152e-01	-9.979384e+00
1.001930244766935e-04	9.132072e-01	-9.979384e+00
