time	V(vo8)
0.000000000000000e+00	-6.097308e-01
1.999999992008394e-11	-6.097308e-01
1.599999993606716e-10	-6.097308e-01
1.814910594728697e-07	-6.097339e-01
3.628221189463787e-07	-6.097471e-01
5.441531784198877e-07	-6.097706e-01
7.254842378933966e-07	-6.098042e-01
9.068152973669056e-07	-6.098479e-01
1.088146356840415e-06	-6.099019e-01
1.269477416313923e-06	-6.099660e-01
2.269477416313923e-06	-6.104513e-01
3.269477416313923e-06	-6.111783e-01
4.269477416313923e-06	-6.121691e-01
5.269477416313923e-06	-6.134193e-01
6.269477416313922e-06	-6.149248e-01
7.269477416313922e-06	-6.166813e-01
8.269477416313922e-06	-6.186846e-01
9.269477416313922e-06	-6.209310e-01
1.026947741631392e-05	-6.234161e-01
1.126947741631392e-05	-6.261361e-01
1.326947741631392e-05	-6.322653e-01
1.526947741631393e-05	-6.392881e-01
1.826947741631393e-05	-6.514324e-01
2.126947741631393e-05	-6.654230e-01
2.369804884488536e-05	-6.781472e-01
2.612662027345678e-05	-6.918603e-01
2.855519170202821e-05	-7.065622e-01
3.098376313059964e-05	-7.222529e-01
3.341233455917107e-05	-7.389324e-01
3.584090598774249e-05	-7.566007e-01
3.826947741631392e-05	-7.752579e-01
4.541233455917104e-05	-8.364929e-01
5.255519170202817e-05	-9.020729e-01
5.969804884488529e-05	-9.719980e-01
6.684090598774242e-05	-1.046268e+00
7.398376313059954e-05	-1.124883e+00
8.112662027345667e-05	-1.207843e+00
8.826947741631378e-05	-1.295148e+00
9.884090598774232e-05	-1.428608e+00
1.094123345591709e-04	-1.561210e+00
1.199837631305994e-04	-1.692956e+00
1.305551917020280e-04	-1.823844e+00
1.411266202734565e-04	-1.953876e+00
1.516980488448851e-04	-2.083050e+00
1.622694774163136e-04	-2.211367e+00
1.728409059877421e-04	-2.333470e+00
1.834123345591707e-04	-2.448069e+00
1.939837631305992e-04	-2.555165e+00
2.045551917020278e-04	-2.654758e+00
2.151266202734563e-04	-2.746848e+00
2.256980488448848e-04	-2.831434e+00
2.362694774163134e-04	-2.908517e+00
2.441266202734564e-04	-2.958833e+00
2.519837631305994e-04	-3.003436e+00
2.598409059877425e-04	-3.042325e+00
2.676980488448855e-04	-3.075500e+00
2.755551917020285e-04	-3.102961e+00
2.834123345591715e-04	-3.124709e+00
2.912694774163145e-04	-3.140743e+00
3.026980488448863e-04	-3.152758e+00
3.141266202734579e-04	-3.152043e+00
3.255551917020296e-04	-3.138598e+00
3.369837631306014e-04	-3.112423e+00
3.484123345591731e-04	-3.073518e+00
3.598409059877448e-04	-3.021882e+00
3.712694774163165e-04	-2.957517e+00
3.832694774163168e-04	-2.875813e+00
3.952694774163171e-04	-2.782797e+00
4.072694774163173e-04	-2.678468e+00
4.192694774163176e-04	-2.562827e+00
4.312694774163179e-04	-2.435873e+00
4.432694774163182e-04	-2.297606e+00
4.552694774163185e-04	-2.148027e+00
4.616980488448901e-04	-2.064809e+00
4.681266202734617e-04	-1.979580e+00
4.745551917020332e-04	-1.892339e+00
4.809837631306049e-04	-1.803088e+00
4.874123345591764e-04	-1.711826e+00
4.938409059877480e-04	-1.618552e+00
5.002694774163196e-04	-1.523268e+00
5.024123345591768e-04	-1.491276e+00
5.045551917020340e-04	-1.459139e+00
5.066980488448912e-04	-1.426858e+00
5.088409059877484e-04	-1.394431e+00
5.109837631306056e-04	-1.361860e+00
5.131266202734627e-04	-1.329144e+00
5.152694774163200e-04	-1.296284e+00
5.222694774163201e-04	-1.187620e+00
5.292694774163203e-04	-1.078372e+00
5.362694774163205e-04	-9.685398e-01
5.432694774163206e-04	-8.581237e-01
5.502694774163208e-04	-7.471233e-01
5.572694774163210e-04	-6.355389e-01
5.642694774163212e-04	-5.233703e-01
5.689837631306070e-04	-4.481070e-01
5.736980488448928e-04	-3.731494e-01
5.784123345591787e-04	-2.984975e-01
5.831266202734645e-04	-2.241513e-01
5.878409059877503e-04	-1.501108e-01
5.925551917020361e-04	-7.637601e-02
5.972694774163220e-04	-2.946876e-03
6.015551917020363e-04	6.331584e-02
6.058409059877507e-04	1.289728e-01
6.101266202734651e-04	1.940240e-01
6.144123345591796e-04	2.584694e-01
6.186980488448939e-04	3.223091e-01
6.229837631306083e-04	3.855430e-01
6.272694774163227e-04	4.481711e-01
6.376980488448944e-04	5.984276e-01
6.481266202734660e-04	7.420420e-01
6.585551917020377e-04	8.790143e-01
6.689837631306094e-04	1.009344e+00
6.794123345591811e-04	1.133033e+00
6.898409059877529e-04	1.250079e+00
7.002694774163245e-04	1.360483e+00
7.086980488448961e-04	1.442912e+00
7.171266202734677e-04	1.519103e+00
7.255551917020393e-04	1.589056e+00
7.339837631306110e-04	1.652770e+00
7.424123345591827e-04	1.710246e+00
7.508409059877542e-04	1.761483e+00
7.592694774163259e-04	1.806482e+00
7.668409059877546e-04	1.840858e+00
7.744123345591835e-04	1.869565e+00
7.819837631306122e-04	1.892601e+00
7.895551917020409e-04	1.909967e+00
7.971266202734697e-04	1.921663e+00
8.046980488448985e-04	1.927689e+00
8.122694774163272e-04	1.928045e+00
8.251266202734703e-04	1.914475e+00
8.379837631306135e-04	1.885221e+00
8.508409059877567e-04	1.840282e+00
8.636980488448999e-04	1.779659e+00
8.765551917020430e-04	1.703351e+00
8.894123345591863e-04	1.611358e+00
9.022694774163294e-04	1.503682e+00
9.124123345591868e-04	1.408698e+00
9.225551917020441e-04	1.306642e+00
9.326980488449016e-04	1.197512e+00
9.428409059877589e-04	1.081310e+00
9.529837631306163e-04	9.580343e-01
9.631266202734738e-04	8.276857e-01
9.732694774163311e-04	6.902640e-01
9.776980488449022e-04	6.289834e-01
9.821266202734733e-04	5.668660e-01
9.865551917020445e-04	5.039119e-01
9.909837631306155e-04	4.401210e-01
9.954123345591866e-04	3.754934e-01
9.998409059877578e-04	3.100290e-01
1.004269477416329e-03	2.437278e-01
1.006269477416329e-03	2.136219e-01
1.008412334559186e-03	1.812065e-01
1.010555191702042e-03	1.486626e-01
1.012698048844900e-03	1.159901e-01
1.014840905987757e-03	8.318904e-02
1.016983763130614e-03	5.025946e-02
1.019126620273470e-03	1.720132e-02
1.021269477416327e-03	-1.598537e-02
1.026555191702041e-03	-9.848677e-02
1.031840905987755e-03	-1.813226e-01
1.037126620273469e-03	-2.644929e-01
1.042412334559183e-03	-3.479977e-01
1.047698048844897e-03	-4.318369e-01
1.052983763130611e-03	-5.160105e-01
1.058269477416324e-03	-6.005186e-01
1.068983763130609e-03	-7.731744e-01
1.079698048844894e-03	-9.432006e-01
1.090412334559179e-03	-1.110597e+00
1.101126620273463e-03	-1.275364e+00
1.111840905987748e-03	-1.437501e+00
1.122555191702033e-03	-1.597009e+00
1.133269477416318e-03	-1.753887e+00
1.145412334559174e-03	-1.925414e+00
1.157555191702030e-03	-2.087105e+00
1.169698048844886e-03	-2.238959e+00
1.181840905987742e-03	-2.380975e+00
1.193983763130599e-03	-2.513155e+00
1.206126620273455e-03	-2.635497e+00
1.218269477416311e-03	-2.748002e+00
1.224983763130596e-03	-2.803995e+00
1.231698048844881e-03	-2.855874e+00
1.238412334559166e-03	-2.903638e+00
1.245126620273451e-03	-2.947289e+00
1.251840905987737e-03	-2.986825e+00
1.258555191702022e-03	-3.022247e+00
1.265269477416307e-03	-3.053555e+00
1.274269477416306e-03	-3.088556e+00
1.283269477416305e-03	-3.115492e+00
1.292269477416305e-03	-3.134364e+00
1.301269477416304e-03	-3.145172e+00
1.310269477416303e-03	-3.147915e+00
1.319269477416302e-03	-3.142594e+00
1.328269477416302e-03	-3.129209e+00
1.342412334559158e-03	-3.090139e+00
1.356555191702013e-03	-3.033045e+00
1.370698048844869e-03	-2.957924e+00
1.384840905987725e-03	-2.864779e+00
1.398983763130581e-03	-2.753607e+00
1.413126620273437e-03	-2.624410e+00
1.427269477416293e-03	-2.477187e+00
1.435840905987721e-03	-2.381155e+00
1.444412334559149e-03	-2.280752e+00
1.452983763130577e-03	-2.175978e+00
1.461555191702005e-03	-2.066834e+00
1.470126620273432e-03	-1.953319e+00
1.478698048844860e-03	-1.835434e+00
1.487269477416288e-03	-1.713178e+00
1.489840905987717e-03	-1.676079e+00
1.492412334559145e-03	-1.638727e+00
1.494983763130573e-03	-1.601120e+00
1.497555191702002e-03	-1.563260e+00
1.500126620273430e-03	-1.525146e+00
1.502698048844858e-03	-1.486778e+00
1.505269477416287e-03	-1.448156e+00
1.507412334559144e-03	-1.415810e+00
1.509555191702001e-03	-1.383332e+00
1.511698048844858e-03	-1.350723e+00
1.513840905987715e-03	-1.317983e+00
1.515983763130572e-03	-1.285111e+00
1.518126620273428e-03	-1.252108e+00
1.520269477416285e-03	-1.218974e+00
1.528126620273428e-03	-1.095878e+00
1.535983763130570e-03	-9.723533e-01
1.543840905987712e-03	-8.483991e-01
1.551698048844854e-03	-7.240156e-01
1.559555191701997e-03	-5.992028e-01
1.567412334559139e-03	-4.739606e-01
1.575269477416281e-03	-3.482891e-01
1.578412334559138e-03	-2.984379e-01
1.581555191701994e-03	-2.487562e-01
1.584698048844851e-03	-1.992440e-01
1.587840905987708e-03	-1.499014e-01
1.590983763130565e-03	-1.007282e-01
1.594126620273422e-03	-5.172462e-02
1.597269477416279e-03	-2.890521e-03
1.601555191701993e-03	6.336845e-02
1.605840905987707e-03	1.290219e-01
1.610126620273421e-03	1.940697e-01
1.614412334559135e-03	2.585121e-01
1.618698048844849e-03	3.223488e-01
1.622983763130563e-03	3.855800e-01
1.627269477416276e-03	4.482057e-01
1.637698048844847e-03	5.984571e-01
1.648126620273417e-03	7.420669e-01
1.658555191701988e-03	8.790352e-01
1.668983763130559e-03	1.009362e+00
1.679412334559129e-03	1.133047e+00
1.689840905987700e-03	1.250091e+00
1.700269477416270e-03	1.360493e+00
1.708698048844841e-03	1.442921e+00
1.717126620273412e-03	1.519111e+00
1.725555191701982e-03	1.589063e+00
1.733983763130553e-03	1.652776e+00
1.742412334559124e-03	1.710251e+00
1.750840905987695e-03	1.761488e+00
1.759269477416265e-03	1.806486e+00
1.766840905987693e-03	1.840862e+00
1.774412334559121e-03	1.869568e+00
1.781983763130549e-03	1.892604e+00
1.789555191701977e-03	1.909970e+00
1.797126620273405e-03	1.921666e+00
1.804698048844833e-03	1.927691e+00
1.812269477416261e-03	1.928047e+00
1.825126620273403e-03	1.914477e+00
1.837983763130544e-03	1.885222e+00
1.850840905987686e-03	1.840283e+00
1.863698048844828e-03	1.779659e+00
1.876555191701970e-03	1.703351e+00
1.889412334559112e-03	1.611359e+00
1.902269477416253e-03	1.503682e+00
1.912412334559110e-03	1.408699e+00
1.922555191701967e-03	1.306642e+00
1.932698048844824e-03	1.197513e+00
1.942840905987681e-03	1.081310e+00
1.952983763130538e-03	9.580345e-01
1.963126620273395e-03	8.276859e-01
1.973269477416252e-03	6.902642e-01
1.977698048844824e-03	6.289835e-01
1.982126620273396e-03	5.668661e-01
1.986555191701968e-03	5.039120e-01
1.990983763130540e-03	4.401211e-01
1.995412334559112e-03	3.754935e-01
1.999840905987684e-03	3.100291e-01
2.004269477416256e-03	2.437279e-01
2.006555191701970e-03	2.092924e-01
2.008840905987685e-03	1.747059e-01
2.011126620273400e-03	1.399684e-01
2.013412334559114e-03	1.050800e-01
2.015698048844829e-03	7.004050e-02
2.017983763130543e-03	3.485005e-02
2.020269477416258e-03	-4.913775e-04
2.021555191701972e-03	-2.041975e-02
2.022840905987687e-03	-4.038331e-02
2.024126620273401e-03	-6.038207e-02
2.025412334559116e-03	-8.041603e-02
2.026698048844830e-03	-1.004852e-01
2.027983763130545e-03	-1.205895e-01
2.029269477416259e-03	-1.407291e-01
2.030269477416259e-03	-1.564118e-01
2.037840905987689e-03	-2.763708e-01
2.045412334559118e-03	-3.964050e-01
2.052983763130548e-03	-5.165143e-01
2.060555191701978e-03	-6.366987e-01
2.068126620273407e-03	-7.569583e-01
2.075698048844837e-03	-8.772931e-01
2.083269477416266e-03	-9.977031e-01
2.095840905987697e-03	-1.197301e+00
2.108412334559127e-03	-1.390349e+00
2.120983763130557e-03	-1.576844e+00
2.133555191701987e-03	-1.756789e+00
2.146126620273418e-03	-1.930182e+00
2.158698048844848e-03	-2.097024e+00
2.171269477416278e-03	-2.257314e+00
2.181269477416279e-03	-2.376294e+00
2.191269477416281e-03	-2.487299e+00
2.201269477416282e-03	-2.590330e+00
2.211269477416283e-03	-2.685386e+00
2.221269477416285e-03	-2.772469e+00
2.231269477416286e-03	-2.851577e+00
2.241269477416287e-03	-2.922711e+00
2.248555191702003e-03	-2.968312e+00
2.255840905987718e-03	-3.008792e+00
2.263126620273433e-03	-3.044148e+00
2.270412334559148e-03	-3.074382e+00
2.277698048844863e-03	-3.099494e+00
2.284983763130579e-03	-3.119482e+00
2.292269477416294e-03	-3.134349e+00
2.303840905987724e-03	-3.146560e+00
2.315412334559154e-03	-3.145585e+00
2.326983763130584e-03	-3.131425e+00
2.338555191702014e-03	-3.104079e+00
2.350126620273445e-03	-3.063548e+00
2.361698048844875e-03	-3.009831e+00
2.373269477416305e-03	-2.942929e+00
2.385126620273449e-03	-2.860500e+00
2.396983763130594e-03	-2.767063e+00
2.408840905987738e-03	-2.662617e+00
2.420698048844882e-03	-2.547161e+00
2.432555191702027e-03	-2.420698e+00
2.444412334559171e-03	-2.283225e+00
2.456269477416316e-03	-2.134743e+00
2.462555191702031e-03	-2.053099e+00
2.468840905987746e-03	-1.969539e+00
2.475126620273461e-03	-1.884062e+00
2.481412334559176e-03	-1.796670e+00
2.487698048844891e-03	-1.707361e+00
2.493983763130606e-03	-1.616136e+00
2.500269477416322e-03	-1.522995e+00
2.502412334559179e-03	-1.491013e+00
2.504555191702037e-03	-1.458885e+00
2.506698048844894e-03	-1.426613e+00
2.508840905987751e-03	-1.394195e+00
2.510983763130609e-03	-1.361632e+00
2.513126620273466e-03	-1.328924e+00
2.515269477416324e-03	-1.296070e+00
2.522269477416325e-03	-1.187429e+00
2.529269477416325e-03	-1.078201e+00
2.536269477416326e-03	-9.683880e-01
2.543269477416327e-03	-8.579885e-01
2.550269477416328e-03	-7.470030e-01
2.557269477416329e-03	-6.354315e-01
2.564269477416330e-03	-5.232740e-01
2.568983763130616e-03	-4.480177e-01
2.573698048844903e-03	-3.730667e-01
2.578412334559189e-03	-2.984210e-01
2.583126620273476e-03	-2.240805e-01
2.587840905987762e-03	-1.500452e-01
2.592555191702048e-03	-7.631524e-02
2.597269477416334e-03	-2.890521e-03
2.601555191702049e-03	6.336845e-02
2.605840905987764e-03	1.290219e-01
2.610126620273479e-03	1.940697e-01
