Freq.	V(vo1)
1.00000000000000e+02	(8.70956316219930e+00dB,1.79680282257770e+02°)
1.25892541179417e+02	(8.70948564959637e+00dB,1.79597501579903e+02°)
1.58489319246111e+02	(8.70936280323282e+00dB,1.79493289239768e+02°)
1.99526231496888e+02	(8.70916811198372e+00dB,1.79362098382766e+02°)
2.51188643150958e+02	(8.70885956502173e+00dB,1.79196948268332e+02°)
3.16227766016838e+02	(8.70837059593111e+00dB,1.78989055323682e+02°)
3.98107170553497e+02	(8.70759574487686e+00dB,1.78727370977384e+02°)
5.01187233627272e+02	(8.70636797176953e+00dB,1.78398004427980e+02°)
6.30957344480193e+02	(8.70442279309789e+00dB,1.77983505114784e+02°)
7.94328234724282e+02	(8.70134167581679e+00dB,1.77461977621335e+02°)
1.00000000000000e+03	(8.69646290628749e+00dB,1.76806003563193e+02°)
1.25892541179417e+03	(8.68874178451060e+00dB,1.75981355861104e+02°)
1.58489319246111e+03	(8.67653267446610e+00dB,1.74945520930496e+02°)
1.99526231496888e+03	(8.65725255788447e+00dB,1.73646113255579e+02°)
2.51188643150958e+03	(8.62686984872608e+00dB,1.72019409803737e+02°)
3.16227766016838e+03	(8.57914761540676e+00dB,1.69989506987617e+02°)
3.98107170553498e+03	(8.50457078199884e+00dB,1.67469090815452e+02°)
5.01187233627273e+03	(8.38893615402880e+00dB,1.64363575299314e+02°)
6.30957344480194e+03	(8.21174879298623e+00dB,1.60581301682066e+02°)
7.94328234724282e+03	(7.94494016142302e+00dB,1.56052957136552e+02°)
1.00000000000000e+04	(7.55302442924797e+00dB,1.50761640461638e+02°)
1.25892541179417e+04	(6.99632011945351e+00dB,1.44778481848087e+02°)
1.58489319246111e+04	(6.23834142057284e+00dB,1.38287266921505e+02°)
1.99526231496888e+04	(5.25592628228717e+00dB,1.31573981877394e+02°)
2.51188643150958e+04	(4.04723437349003e+00dB,1.24969860189406e+02°)
3.16227766016838e+04	(2.63240952839729e+00dB,1.18769638772280e+02°)
3.98107170553498e+04	(1.04642579366516e+00dB,1.13168280998876e+02°)
5.01187233627273e+04	(-6.71123801657950e-01dB,1.08243028181244e+02°)
6.30957344480194e+04	(-2.48406730574371e+00dB,1.03973621766762e+02°)
7.94328234724283e+04	(-4.36354736571037e+00dB,1.00276877420638e+02°)
1.00000000000000e+05	(-6.28863269465738e+00dB,9.70372315731513e+01°)
1.25892541179417e+05	(-8.24531155033463e+00dB,9.41266206725777e+01°)
1.58489319246112e+05	(-1.02251126568128e+01dB,9.14145079164996e+01°)
1.99526231496888e+05	(-1.22239901391127e+01dB,8.87712479776347e+01°)
2.51188643150958e+05	(-1.42417141918235e+01dB,8.60678571504246e+01°)
3.16227766016838e+05	(-1.62818321064694e+01dB,8.31746136297204e+01°)
3.98107170553498e+05	(-1.83521994050113e+01dB,7.99606095009310e+01°)
5.01187233627273e+05	(-2.04660204502932e+01dB,7.62966282542381e+01°)
6.30957344480194e+05	(-2.26431749025359e+01dB,7.20643548809559e+01°)
7.94328234724283e+05	(-2.49112325719530e+01dB,6.71751642608370e+01°)
1.00000000000000e+06	(-2.73049575220513e+01dB,6.15997157377308e+01°)
1.25892541179417e+06	(-2.98626217966537e+01dB,5.54026862446282e+01°)
1.58489319246112e+06	(-3.26180662484847e+01dB,4.87653786540513e+01°)
1.99526231496888e+06	(-3.55900867544735e+01dB,4.19721623771008e+01°)
2.51188643150959e+06	(-3.87740787345379e+01dB,3.53509109001827e+01°)
3.16227766016839e+06	(-4.21408786707694e+01dB,2.91912113213439e+01°)
3.98107170553498e+06	(-4.56427747964303e+01dB,2.36838433623297e+01°)
5.01187233627273e+06	(-4.92215966694220e+01dB,1.89066730458956e+01°)
6.30957344480195e+06	(-5.28137248697428e+01dB,1.48484161547261e+01°)
7.94328234724283e+06	(-5.63505013154364e+01dB,1.14466016649666e+01°)
1.00000000000000e+07	(-5.97559502466872e+01dB,8.62202643051861e+00°)
1.25892541179417e+07	(-6.29455732825751e+01dB,6.30255980141178e+00°)
1.58489319246112e+07	(-6.58305860101974e+01dB,4.43433198612187e+00°)
1.99526231496888e+07	(-6.83305411181176e+01dB,2.97937013335444e+00°)
2.51188643150959e+07	(-7.03921811862681e+01dB,1.90192107155810e+00°)
3.16227766016839e+07	(-7.20053274051232e+01dB,1.15322108795366e+00°)
3.98107170553498e+07	(-7.32051242904283e+01dB,6.67506035939934e-01°)
5.01187233627274e+07	(-7.40586049026879e+01dB,3.72128761862684e-01°)
6.30957344480195e+07	(-7.46443001211997e+01dB,2.01966261043719e-01°)
7.94328234724284e+07	(-7.50355171874794e+01dB,1.07877062469859e-01°)
1.00000000000000e+08	(-7.52918556183654e+01dB,5.72998904761773e-02°)
