Freq.	V(vo1)/V(Vin1)
1.00000000000000e+02	(2.95371640922157e+01dB,1.79664594813005e+02°)
1.25892541179417e+02	(2.95370787052385e+01dB,1.79577752627283e+02°)
1.58489319246111e+02	(2.95369433794376e+01dB,1.79468427520151e+02°)
1.99526231496888e+02	(2.95367289111326e+01dB,1.79330800805933e+02°)
2.51188643150958e+02	(2.95363890234653e+01dB,1.79157549893735e+02°)
3.16227766016838e+02	(2.95358503922869e+01dB,1.78939461574067e+02°)
3.98107170553497e+02	(2.95349968561898e+01dB,1.78664947845060e+02°)
5.01187233627272e+02	(2.95336444360978e+01dB,1.78319441692339e+02°)
6.30957344480193e+02	(2.95315018568521e+01dB,1.77884647008042e+02°)
7.94328234724282e+02	(2.95281082609291e+01dB,1.77337615340531e+02°)
1.00000000000000e+03	(2.95227351988199e+01dB,1.76649625336347e+02°)
1.25892541179417e+03	(2.95142330600860e+01dB,1.75784854558965e+02°)
1.58489319246111e+03	(2.95007920740371e+01dB,1.74698869626209e+02°)
1.99526231496888e+03	(2.94795743762325e+01dB,1.73337041522001e+02°)
2.51188643150958e+03	(2.94461574577028e+01dB,1.71633158030504e+02°)
3.16227766016838e+03	(2.93937162439094e+01dB,1.69508818065996e+02°)
3.98107170553498e+03	(2.93118780082575e+01dB,1.66874735645753e+02°)
5.01187233627273e+03	(2.91852510793271e+01dB,1.63635901332441e+02°)
6.30957344480194e+03	(2.89918288748261e+01dB,1.59703469190231e+02°)
7.94328234724282e+03	(2.87018950540756e+01dB,1.55016428774137e+02°)
1.00000000000000e+04	(2.82786825653350e+01dB,1.49573597484158e+02°)
1.25892541179417e+04	(2.76824318270255e+01dB,1.43468724003010e+02°)
1.58489319246111e+04	(2.68785979487894e+01dB,1.36909726832115e+02°)
1.99526231496888e+04	(2.58480235591829e+01dB,1.30198501470319e+02°)
2.51188643150958e+04	(2.45937351643606e+01dB,1.23665790505095e+02°)
3.16227766016838e+04	(2.31397881630645e+01dB,1.17589712659277e+02°)
3.98107170553498e+04	(2.15229748375135e+01dB,1.12140958994888e+02°)
5.01187233627273e+04	(1.97827198512591e+01dB,1.07374451367926e+02°)
6.30957344480194e+04	(1.79538746868698e+01dB,1.03254651062779e+02°)
7.94328234724283e+04	(1.60636471172862e+01dB,9.96904446289880e+01°)
1.00000000000000e+05	(1.41314726005400e+01dB,9.65637024760460e+01°)
1.25892541179417e+05	(1.21701944216883e+01dB,9.37469232661912e+01°)
1.58489319246112e+05	(1.01874444751553e+01dB,9.11116116027533e+01°)
1.99526231496888e+05	(8.18669563148949e+00dB,8.85306520586189e+01°)
2.51188643150958e+05	(6.16779948970366e+00dB,8.58775657082081e+01°)
3.16227766016838e+05	(4.12696564604148e+00dB,8.30248825637655e+01°)
3.98107170553498e+05	(2.05618674896453e+00dB,7.98436164144085e+01°)
5.01187233627273e+05	(-5.78323116947360e-02dB,7.62061344669674e+01°)
6.30957344480194e+05	(-2.23502145631051e+00dB,7.19953841378069e+01°)
7.94328234724283e+05	(-4.50297544045187e+00dB,6.71237019397834e+01°)
1.00000000000000e+06	(-6.89647142703049e+00dB,6.15624307228330e+01°)
1.25892541179417e+06	(-9.45379642244175e+00dB,5.53766939878621e+01°)
1.58489319246112e+06	(-1.22088198760330e+01dB,4.87480872296949e+01°)
1.99526231496888e+06	(-1.51803831102229e+01dB,4.19612405895217e+01°)
2.51188643150959e+06	(-1.83639338918826e+01dB,3.53443617038399e+01°)
3.16227766016839e+06	(-2.17303508374494e+01dB,2.91874647099367e+01°)
3.98107170553498e+06	(-2.52319428586483e+01dB,2.36817818618001e+01°)
5.01187233627273e+06	(-2.88105396370253e+01dB,1.89055721873641e+01°)
6.30957344480195e+06	(-3.24025096619776e+01dB,1.48478410721769e+01°)
7.94328234724283e+06	(-3.59391789521649e+01dB,1.14463060813253e+01°)
1.00000000000000e+07	(-3.93445570733205e+01dB,8.62187651978239e+00°)
1.25892541179417e+07	(-4.25341340792887e+01dB,6.30248485110554e+00°)
1.58489319246112e+07	(-4.54191172017212e+01dB,4.43429529520420e+00°)
1.99526231496888e+07	(-4.79190533962452e+01dB,2.97935284287174e+00°)
2.51188643150959e+07	(-4.99806814317956e+01dB,1.90191352607019e+00°)
3.16227766016839e+07	(-5.15938200150314e+01dB,1.15321834317114e+00°)
3.98107170553498e+07	(-5.27936120626492e+01dB,6.67505562975125e-01°)
5.01187233627274e+07	(-5.36470896132278e+01dB,3.72129279563151e-01°)
6.30957344480195e+07	(-5.42327828956432e+01dB,2.01967136141929e-01°)
7.94328234724284e+07	(-5.46239987383845e+01dB,1.07877996366753e-01°)
1.00000000000000e+08	(-5.48803363964200e+01dB,5.73007542673455e-02°)
