time	V(vout)
0.000000000000000e+00	-2.167284e-03
3.999999984016789e-11	-2.167284e-03
3.999999984016790e-10	-2.167283e-03
7.599999969631901e-10	-2.167283e-03
1.119999995524701e-09	-2.167283e-03
1.479999994086212e-09	-2.167282e-03
1.839999992647723e-09	-2.167282e-03
2.199999991209235e-09	-2.167282e-03
2.559999989770745e-09	-2.167281e-03
1.835482023217926e-07	-2.191600e-03
3.645364046538144e-07	-2.281902e-03
5.455246069858362e-07	-2.438190e-03
7.265128093178582e-07	-2.660461e-03
9.075010116498801e-07	-2.948717e-03
1.088489213981902e-06	-3.302957e-03
1.269477416313923e-06	-3.723182e-03
2.269477416313923e-06	-6.804336e-03
3.269477416313923e-06	-1.124442e-02
4.269477416313923e-06	-1.704937e-02
5.269477416313923e-06	-2.407201e-02
6.269477416313922e-06	-3.218090e-02
7.269477416313922e-06	-4.125871e-02
8.269477416313922e-06	-5.120064e-02
9.269477416313922e-06	-6.191314e-02
1.026947741631392e-05	-7.331263e-02
1.126947741631392e-05	-8.532446e-02
1.326947741631392e-05	-1.109256e-01
1.526947741631393e-05	-1.382638e-01
1.826947741631393e-05	-1.817577e-01
2.126947741631393e-05	-2.274340e-01
2.369804884488536e-05	-2.658954e-01
2.612662027345678e-05	-3.047027e-01
2.855519170202821e-05	-3.438558e-01
3.098376313059964e-05	-3.833547e-01
3.341233455917107e-05	-4.231996e-01
3.584090598774249e-05	-4.633902e-01
3.826947741631392e-05	-5.039268e-01
4.569804884488533e-05	-6.281185e-01
5.312662027345674e-05	-7.504476e-01
6.055519170202815e-05	-8.709143e-01
6.798376313059955e-05	-9.895184e-01
7.541233455917096e-05	-1.106260e+00
8.284090598774239e-05	-1.221139e+00
9.026947741631377e-05	-1.334156e+00
1.045551917020280e-04	-1.544996e+00
1.188409059877423e-04	-1.739871e+00
1.331266202734565e-04	-1.918783e+00
1.474123345591708e-04	-2.081730e+00
1.616980488448851e-04	-2.228714e+00
1.759837631305993e-04	-2.359733e+00
1.902694774163135e-04	-2.474788e+00
1.991266202734564e-04	-2.534513e+00
2.079837631305993e-04	-2.586072e+00
2.168409059877421e-04	-2.629466e+00
2.256980488448850e-04	-2.664695e+00
2.345551917020278e-04	-2.691759e+00
2.434123345591707e-04	-2.710658e+00
2.522694774163136e-04	-2.721391e+00
2.592694774163137e-04	-2.723671e+00
2.662694774163139e-04	-2.720731e+00
2.732694774163141e-04	-2.712572e+00
2.802694774163143e-04	-2.699193e+00
2.872694774163144e-04	-2.680594e+00
2.942694774163146e-04	-2.656776e+00
3.012694774163148e-04	-2.627738e+00
3.135551917020293e-04	-2.563171e+00
3.258409059877440e-04	-2.484763e+00
3.381266202734585e-04	-2.392513e+00
3.504123345591731e-04	-2.286423e+00
3.626980488448877e-04	-2.166491e+00
3.749837631306023e-04	-2.032718e+00
3.872694774163169e-04	-1.885104e+00
3.984123345591743e-04	-1.741045e+00
4.095551917020317e-04	-1.590406e+00
4.206980488448891e-04	-1.433188e+00
4.318409059877465e-04	-1.269390e+00
4.429837631306039e-04	-1.099013e+00
4.541266202734613e-04	-9.220561e-01
4.652694774163188e-04	-7.385201e-01
4.706980488448903e-04	-6.484773e-01
4.761266202734619e-04	-5.579475e-01
4.815551917020334e-04	-4.669308e-01
4.869837631306050e-04	-3.754271e-01
4.924123345591766e-04	-2.834365e-01
4.978409059877481e-04	-1.909589e-01
5.032694774163197e-04	-9.799433e-02
5.056980488448912e-04	-5.645769e-02
5.081266202734626e-04	-1.493256e-02
5.105551917020341e-04	2.658106e-02
5.129837631306056e-04	6.808318e-02
5.154123345591772e-04	1.095738e-01
5.178409059877486e-04	1.510529e-01
5.202694774163201e-04	1.925205e-01
5.281266202734631e-04	3.270396e-01
5.359837631306062e-04	4.599584e-01
5.438409059877492e-04	5.912771e-01
5.516980488448923e-04	7.209956e-01
5.595551917020353e-04	8.491139e-01
5.674123345591784e-04	9.756320e-01
5.752694774163214e-04	1.100550e+00
5.885551917020360e-04	1.307254e+00
6.018409059877506e-04	1.501707e+00
6.151266202734653e-04	1.683906e+00
6.284123345591799e-04	1.853853e+00
6.416980488448945e-04	2.011548e+00
6.549837631306091e-04	2.156990e+00
6.682694774163237e-04	2.290179e+00
6.786980488448954e-04	2.382005e+00
6.891266202734671e-04	2.462870e+00
6.995551917020387e-04	2.532772e+00
7.099837631306104e-04	2.591714e+00
7.204123345591821e-04	2.639694e+00
7.308409059877537e-04	2.676712e+00
7.412694774163255e-04	2.702769e+00
7.489837631306114e-04	2.714118e+00
7.566980488448973e-04	2.719102e+00
7.644123345591832e-04	2.717720e+00
7.721266202734690e-04	2.709973e+00
7.798409059877549e-04	2.695861e+00
7.875551917020409e-04	2.675383e+00
7.952694774163268e-04	2.648540e+00
8.068409059877556e-04	2.595586e+00
8.184123345591845e-04	2.529970e+00
8.299837631306133e-04	2.451694e+00
8.415551917020422e-04	2.360756e+00
8.531266202734711e-04	2.257158e+00
8.646980488448999e-04	2.140899e+00
8.762694774163287e-04	2.011979e+00
8.879837631306148e-04	1.869715e+00
8.996980488449008e-04	1.719477e+00
9.114123345591868e-04	1.561265e+00
9.231266202734728e-04	1.395078e+00
9.348409059877587e-04	1.220916e+00
9.465551917020447e-04	1.038780e+00
9.582694774163307e-04	8.486701e-01
9.644123345591876e-04	7.479010e-01
9.705551917020445e-04	6.463959e-01
9.766980488449015e-04	5.441547e-01
9.828409059877584e-04	4.411773e-01
9.889837631306153e-04	3.374639e-01
9.951266202734722e-04	2.330144e-01
1.001269477416329e-03	1.278288e-01
1.006269477416329e-03	4.237604e-02
1.008840905987757e-03	-1.622207e-03
1.011412334559185e-03	-4.559195e-02
1.013983763130614e-03	-8.953317e-02
1.016555191702042e-03	-1.334459e-01
1.019126620273470e-03	-1.773301e-01
1.021698048844899e-03	-2.211858e-01
1.024269477416327e-03	-2.650130e-01
1.032840905987755e-03	-4.114730e-01
1.041412334559183e-03	-5.557197e-01
1.049983763130611e-03	-6.977529e-01
1.058555191702038e-03	-8.375727e-01
1.067126620273466e-03	-9.751790e-01
1.075698048844894e-03	-1.110572e+00
1.084269477416322e-03	-1.243751e+00
1.098412334559178e-03	-1.457271e+00
1.112555191702034e-03	-1.655744e+00
1.126698048844890e-03	-1.839169e+00
1.140840905987746e-03	-2.007547e+00
1.154983763130602e-03	-2.160878e+00
1.169126620273458e-03	-2.299162e+00
1.183269477416314e-03	-2.422398e+00
1.192555191702027e-03	-2.491258e+00
1.201840905987741e-03	-2.551226e+00
1.211126620273454e-03	-2.602303e+00
1.220412334559168e-03	-2.644488e+00
1.229698048844881e-03	-2.677782e+00
1.238983763130595e-03	-2.702185e+00
1.248269477416308e-03	-2.717696e+00
1.254840905987736e-03	-2.722832e+00
1.261412334559164e-03	-2.723351e+00
1.267983763130592e-03	-2.719254e+00
1.274555191702020e-03	-2.710540e+00
1.281126620273448e-03	-2.697210e+00
1.287698048844876e-03	-2.679263e+00
1.294269477416304e-03	-2.656699e+00
1.305983763130589e-03	-2.604200e+00
1.317698048844874e-03	-2.538706e+00
1.329412334559159e-03	-2.460217e+00
1.341126620273443e-03	-2.368733e+00
1.352840905987728e-03	-2.264255e+00
1.364555191702013e-03	-2.146782e+00
1.376269477416298e-03	-2.016314e+00
1.387983763130582e-03	-1.874051e+00
1.399698048844867e-03	-1.723813e+00
1.411412334559152e-03	-1.565600e+00
1.423126620273436e-03	-1.399413e+00
1.434840905987721e-03	-1.225252e+00
1.446555191702006e-03	-1.043116e+00
1.458269477416291e-03	-8.530059e-01
1.464412334559147e-03	-7.522369e-01
1.470555191702004e-03	-6.507318e-01
1.476698048844860e-03	-5.484906e-01
1.482840905987717e-03	-4.455132e-01
1.488983763130574e-03	-3.417998e-01
1.495126620273430e-03	-2.373503e-01
1.501269477416287e-03	-1.321647e-01
1.503412334559144e-03	-9.553634e-02
1.505555191702001e-03	-5.890761e-02
1.507698048844858e-03	-2.227855e-02
1.509840905987715e-03	1.435086e-02
1.511983763130572e-03	5.098061e-02
1.514126620273429e-03	8.761069e-02
1.516269477416286e-03	1.242411e-01
1.523412334559142e-03	2.466883e-01
1.530555191701999e-03	3.680301e-01
1.537698048844855e-03	4.882666e-01
1.544840905987712e-03	6.073978e-01
1.551983763130569e-03	7.254235e-01
1.559126620273425e-03	8.423440e-01
1.566269477416282e-03	9.581591e-01
