Freq.	V(n002)
1.00000000000000e+02	(2.94936456997701e+01dB,1.79651316642811e+02°)
1.25892541179417e+02	(2.94935533403896e+01dB,1.79561036743859e+02°)
1.58489319246111e+02	(2.94934069646587e+01dB,1.79447384152979e+02°)
1.99526231496888e+02	(2.94931749848627e+01dB,1.79304310139401e+02°)
2.51188643150958e+02	(2.94928073470392e+01dB,1.79124202839944e+02°)
3.16227766016838e+02	(2.94922247440853e+01dB,1.78897485545577e+02°)
3.98107170553497e+02	(2.94913015406657e+01dB,1.78612113976667e+02°)
5.01187233627272e+02	(2.94898387636602e+01dB,1.78252949371256e+02°)
6.30957344480193e+02	(2.94875214269133e+01dB,1.77800981153939e+02°)
7.94328234724282e+02	(2.94838512261988e+01dB,1.77232371990267e+02°)
1.00000000000000e+03	(2.94780406949502e+01dB,1.76517302482307e+02°)
1.25892541179417e+03	(2.94688475155233e+01dB,1.75618609364377e+02°)
1.58489319246111e+03	(2.94543170463315e+01dB,1.74490252984258e+02°)
1.99526231496888e+03	(2.94313869102892e+01dB,1.73075741738815e+02°)
2.51188643150958e+03	(2.93952912399643e+01dB,1.71306826212582e+02°)
3.16227766016838e+03	(2.93386908656488e+01dB,1.69103121858949e+02°)
3.98107170553498e+03	(2.92504692300437e+01dB,1.66373908694512e+02°)
5.01187233627273e+03	(2.91142171535403e+01dB,1.63024217246057e+02°)
6.30957344480194e+03	(2.89066624744406e+01dB,1.58968191393492e+02°)
7.94328234724282e+03	(2.85967675906996e+01dB,1.54152622977548e+02°)
1.00000000000000e+04	(2.81468530245981e+01dB,1.48590293377989e+02°)
1.25892541179417e+04	(2.75173656811688e+01dB,1.42394033568849e+02°)
1.58489319246111e+04	(2.66756807283082e+01dB,1.35790761572404e+02°)
1.99526231496888e+04	(2.56061268298071e+01dB,1.29093142167711e+02°)
2.51188643150958e+04	(2.43156425336654e+01dB,1.22628796969206e+02°)
3.16227766016838e+04	(2.28311732632828e+01dB,1.16660575678067e+02°)
3.98107170553498e+04	(2.11906442187064e+01dB,1.11339312433516e+02°)
5.01187233627273e+04	(1.94331044423499e+01dB,1.06702806446156e+02°)
6.30957344480194e+04	(1.75922355487092e+01dB,1.02704425088340e+02°)
7.94328234724283e+04	(1.56939045623570e+01dB,9.92477233696233e+01°)
1.00000000000000e+05	(1.37563710937298e+01dB,9.62132605753679e+01°)
1.25892541179417e+05	(1.17915714191462e+01dB,9.34745040060023e+01°)
1.58489319246112e+05	(9.80648265795736e+00dB,9.09049872466268e+01°)
1.99526231496888e+05	(7.80411630975457e+00dB,8.83799807072191e+01°)
2.51188643150958e+05	(5.78399239362092e+00dB,8.57754032990006e+01°)
3.16227766016838e+05	(3.74206219806952e+00dB,8.29660615306155e+01°)
3.98107170553498e+05	(1.67008348650850e+00dB,7.98251032122221e+01°)
5.01187233627273e+05	(-4.45499308265492e-01dB,7.62269200531627e+01°)
6.30957344480194e+05	(-2.62495913397816e+00dB,7.20564305309306e+01°)
7.94328234724283e+05	(-4.89639343610919e+00dB,6.72279542835598e+01°)
1.00000000000000e+06	(-7.29535562694823e+00dB,6.17149039991213e+01°)
1.25892541179417e+06	(-9.86135627019276e+00dB,5.55846549449371e+01°)
1.58489319246112e+06	(-1.26302007783286e+01dB,4.90213645534980e+01°)
1.99526231496888e+06	(-1.56237803506423e+01dB,4.23126799485588e+01°)
2.51188643150959e+06	(-1.88423144971177e+01dB,3.57903677228012e+01°)
3.16227766016839e+06	(-2.22640967414960e+01dB,2.97484552930895e+01°)
3.98107170553498e+06	(-2.58528666598571e+01dB,2.43822617467447e+01°)
5.01187233627273e+06	(-2.95678531358636e+01dB,1.97733857825060e+01°)
6.30957344480195e+06	(-3.33713478086824e+01dB,1.59119168317766e+01°)
7.94328234724283e+06	(-3.72319816748763e+01dB,1.27319063832951e+01°)
1.00000000000000e+07	(-4.11245888483281e+01dB,1.01423782724995e+01°)
1.25892541179417e+07	(-4.50282063127386e+01dB,8.04782051955178e+00°)
1.58489319246112e+07	(-4.89232655850781e+01dB,6.35920973633736e+00°)
1.99526231496888e+07	(-5.27883951268431e+01dB,4.99872468966687e+00°)
2.51188643150959e+07	(-5.65968853088700e+01dB,3.90097867329392e+00°)
3.16227766016839e+07	(-6.03128595326900e+01dB,3.01268212688565e+00°)
3.98107170553498e+07	(-6.38876155472866e+01dB,2.29183272308621e+00°)
5.01187233627274e+07	(-6.72575462175573e+01dB,1.70688349837604e+00°)
6.30957344480195e+07	(-7.03463325378387e+01dB,1.23572898085664e+00°)
7.94328234724284e+07	(-7.30745853333429e+01dB,8.63813821216528e-01°)
1.00000000000000e+08	(-7.53775458126567e+01dB,5.80743260644061e-01°)
