time	V(n002)	V(n013)
0.000000000000000e+00	-8.019831e-03	-1.670383e-07
4.224673717811347e-07	-8.199552e-03	2.645970e-04
8.449347435622695e-07	-8.731307e-03	5.293303e-04
1.267402115343404e-06	-9.615095e-03	7.940330e-04
1.689869487124539e-06	-1.085092e-02	1.058705e-03
2.112336858905674e-06	-1.243877e-02	1.323346e-03
2.534804230686808e-06	-1.437866e-02	1.587957e-03
2.957271602467942e-06	-1.667058e-02	1.852537e-03
5.812260855101027e-06	-3.677742e-02	3.639583e-03
9.118708983207693e-06	-7.008766e-02	5.706816e-03
1.400152148320769e-05	-1.331296e-01	8.753654e-03
1.888433398320769e-05	-2.064467e-01	1.179131e-02
2.376714648320770e-05	-2.868728e-01	1.481732e-02
2.864995898320770e-05	-3.713739e-01	1.782904e-02
3.841558398320770e-05	-5.459602e-01	2.379882e-02
4.678611969749342e-05	-6.989358e-01	2.887826e-02
5.515665541177913e-05	-8.492500e-01	3.384440e-02
6.352719112606486e-05	-9.969028e-01	3.869726e-02
7.189772684035057e-05	-1.141894e+00	4.343682e-02
8.026826255463630e-05	-1.284224e+00	4.806310e-02
8.863879826892201e-05	-1.423893e+00	5.257608e-02
9.700933398320771e-05	-1.560900e+00	5.697578e-02
1.116577714832077e-04	-1.791675e+00	6.435340e-02
1.263062089832077e-04	-2.003350e+00	7.106107e-02
1.409546464832078e-04	-2.195925e+00	7.709880e-02
1.556030839832078e-04	-2.369400e+00	8.246659e-02
1.702515214832078e-04	-2.523774e+00	8.716444e-02
1.848999589832078e-04	-2.659047e+00	9.119234e-02
1.995483964832078e-04	-2.775221e+00	9.455030e-02
2.169870125546364e-04	-2.879137e+00	9.736789e-02
2.344256286260650e-04	-2.947808e+00	9.901014e-02
2.518642446974936e-04	-2.981236e+00	9.947705e-02
2.693028607689221e-04	-2.979420e+00	9.876863e-02
2.867414768403508e-04	-2.942360e+00	9.688486e-02
3.041800929117793e-04	-2.870056e+00	9.382577e-02
3.216187089832079e-04	-2.762508e+00	8.959133e-02
3.355696018403507e-04	-2.649998e+00	8.534784e-02
3.495204946974936e-04	-2.520090e+00	8.055353e-02
3.634713875546365e-04	-2.372785e+00	7.520841e-02
3.774222804117794e-04	-2.208083e+00	6.931248e-02
3.913731732689222e-04	-2.025984e+00	6.286573e-02
4.053240661260651e-04	-1.826488e+00	5.586818e-02
4.192749589832080e-04	-1.609594e+00	4.831981e-02
4.283430393403508e-04	-1.462817e+00	4.324470e-02
4.374111196974937e-04	-1.312570e+00	3.807216e-02
4.464792000546366e-04	-1.158855e+00	3.280216e-02
4.555472804117795e-04	-1.001670e+00	2.743473e-02
4.646153607689223e-04	-8.410158e-01	2.196984e-02
4.736834411260652e-04	-6.768926e-01	1.640752e-02
4.827515214832080e-04	-5.093001e-01	1.074774e-02
4.869367893403509e-04	-4.318301e-01	8.138491e-03
4.911220571974938e-04	-3.542014e-01	5.528126e-03
4.953073250546366e-04	-2.764141e-01	2.916648e-03
4.994925929117795e-04	-1.984683e-01	3.040572e-04
5.036778607689223e-04	-1.203638e-01	-2.309646e-03
5.078631286260652e-04	-4.210071e-02	-4.924463e-03
5.120483964832080e-04	3.632097e-02	-7.540392e-03
5.176287536260651e-04	1.409644e-01	-1.102438e-02
5.232091107689223e-04	2.451067e-01	-1.448427e-02
5.287894679117794e-04	3.487477e-01	-1.792007e-02
5.343698250546366e-04	4.518875e-01	-2.133177e-02
5.399501821974937e-04	5.545260e-01	-2.471937e-02
5.455305393403509e-04	6.566634e-01	-2.808288e-02
5.511108964832080e-04	7.582995e-01	-3.142229e-02
5.622716107689223e-04	9.602636e-01	-3.803375e-02
5.734323250546367e-04	1.155176e+00	-4.438401e-02
5.845930393403510e-04	1.343036e+00	-5.047308e-02
5.957537536260653e-04	1.523843e+00	-5.630096e-02
6.069144679117795e-04	1.697599e+00	-6.186765e-02
6.180751821974938e-04	1.864302e+00	-6.717315e-02
6.292358964832081e-04	2.023954e+00	-7.221746e-02
6.473720571974938e-04	2.263147e+00	-7.967803e-02
6.655082179117795e-04	2.467583e+00	-8.594749e-02
6.836443786260654e-04	2.637262e+00	-9.102582e-02
7.017805393403511e-04	2.772184e+00	-9.491302e-02
7.199167000546368e-04	2.872349e+00	-9.760910e-02
7.380528607689225e-04	2.937758e+00	-9.911406e-02
7.561890214832082e-04	2.968409e+00	-9.942789e-02
7.736276375546368e-04	2.954712e+00	-9.828891e-02
7.910662536260655e-04	2.908051e+00	-9.607558e-02
8.085048696974940e-04	2.828425e+00	-9.278789e-02
8.259434857689226e-04	2.715835e+00	-8.842584e-02
8.433821018403512e-04	2.570280e+00	-8.298943e-02
8.608207179117798e-04	2.391761e+00	-7.647867e-02
8.782593339832083e-04	2.180278e+00	-6.889355e-02
8.894200482689226e-04	2.031373e+00	-6.362089e-02
9.005807625546369e-04	1.874487e+00	-5.810677e-02
9.117414768403513e-04	1.709620e+00	-5.235119e-02
9.229021911260656e-04	1.536773e+00	-4.635416e-02
9.340629054117798e-04	1.355946e+00	-4.011568e-02
9.452236196974941e-04	1.167138e+00	-3.363574e-02
9.563843339832084e-04	9.703500e-01	-2.691435e-02
9.626622357689226e-04	8.582618e-01	-2.310069e-02
9.689401375546369e-04	7.452694e-01	-1.926610e-02
9.752180393403511e-04	6.313728e-01	-1.541059e-02
9.814959411260653e-04	5.165721e-01	-1.153415e-02
9.877738429117796e-04	4.008671e-01	-7.636780e-03
9.940517446974937e-04	2.842579e-01	-3.718484e-03
1.000329646483208e-03	1.667446e-01	2.207409e-04
1.003817369697494e-03	1.015013e-01	2.403640e-03
1.007305092911779e-03	3.628356e-02	4.582774e-03
1.010792816126065e-03	-2.890854e-02	6.758143e-03
1.014280539340351e-03	-9.407502e-02	8.929747e-03
1.017768262554636e-03	-1.592159e-01	1.109759e-02
1.021255985768922e-03	-2.243311e-01	1.326166e-02
1.024743708983207e-03	-2.894208e-01	1.542197e-02
1.033114244697493e-03	-4.458831e-01	2.060259e-02
1.041484780411778e-03	-6.000871e-01	2.569180e-02
1.049855316126064e-03	-7.520328e-01	3.068960e-02
1.058225851840350e-03	-9.017202e-01	3.559598e-02
1.066596387554635e-03	-1.049149e+00	4.041096e-02
1.074966923268921e-03	-1.194320e+00	4.513451e-02
1.083337458983206e-03	-1.337233e+00	4.976666e-02
1.097288351840349e-03	-1.569056e+00	5.723576e-02
1.111239244697491e-03	-1.785103e+00	6.414543e-02
1.125190137554634e-03	-1.985374e+00	7.049566e-02
1.139141030411777e-03	-2.169869e+00	7.628647e-02
1.153091923268919e-03	-2.338588e+00	8.151785e-02
1.167042816126062e-03	-2.491530e+00	8.618979e-02
1.180993708983204e-03	-2.628697e+00	9.030230e-02
1.198432325054632e-03	-2.768999e+00	9.436271e-02
1.215870941126061e-03	-2.874272e+00	9.724664e-02
1.233309557197489e-03	-2.944517e+00	9.895408e-02
1.250748173268917e-03	-2.979734e+00	9.948504e-02
1.268186789340345e-03	-2.979922e+00	9.883951e-02
1.285625405411773e-03	-2.945081e+00	9.701750e-02
1.303064021483202e-03	-2.875213e+00	9.401900e-02
1.318410003626058e-03	-2.781168e+00	9.031596e-02
1.333755985768915e-03	-2.664684e+00	8.589623e-02
1.349101967911772e-03	-2.525760e+00	8.075981e-02
1.364447950054629e-03	-2.364397e+00	7.490669e-02
1.379793932197486e-03	-2.180595e+00	6.833689e-02
1.395139914340342e-03	-1.974352e+00	6.105040e-02
1.410485896483199e-03	-1.745671e+00	5.304722e-02
1.420251521483199e-03	-1.592612e+00	4.773187e-02
1.430017146483199e-03	-1.435120e+00	4.228949e-02
1.439782771483199e-03	-1.273195e+00	3.672008e-02
1.449548396483198e-03	-1.106838e+00	3.102364e-02
1.459314021483198e-03	-9.360473e-01	2.520018e-02
1.469079646483198e-03	-7.608241e-01	1.924968e-02
1.478845271483198e-03	-5.811681e-01	1.317216e-02
1.483030539340341e-03	-5.040202e-01	1.056979e-02
1.487215807197483e-03	-4.266635e-01	7.964624e-03
1.491401075054626e-03	-3.490979e-01	5.356658e-03
1.495586342911769e-03	-2.713235e-01	2.745892e-03
1.499771610768912e-03	-1.933401e-01	1.323263e-04
1.503956878626054e-03	-1.151479e-01	-2.484039e-03
1.508142146483197e-03	-3.674676e-02	-5.103204e-03
1.522790583983197e-03	2.369875e-01	-1.421484e-02
