v9	V(n022)
-2.000000000000000e+00	8.494249e+00
-1.990000000000000e+00	8.494218e+00
-1.980000000000000e+00	8.494190e+00
-1.970000000000000e+00	8.494158e+00
-1.960000000000000e+00	8.494123e+00
-1.950000000000000e+00	8.494089e+00
-1.940000000000000e+00	8.494054e+00
-1.930000000000000e+00	8.494018e+00
-1.920000000000000e+00	8.493979e+00
-1.910000000000000e+00	8.493941e+00
-1.900000000000000e+00	8.493902e+00
-1.890000000000000e+00	8.493861e+00
-1.880000000000000e+00	8.493819e+00
-1.870000000000000e+00	8.493776e+00
-1.860000000000000e+00	8.493732e+00
-1.850000000000000e+00	8.493688e+00
-1.840000000000000e+00	8.493642e+00
-1.830000000000000e+00	8.493594e+00
-1.820000000000000e+00	8.493545e+00
-1.810000000000000e+00	8.493495e+00
-1.800000000000000e+00	8.493443e+00
-1.790000000000000e+00	8.493391e+00
-1.780000000000000e+00	8.493337e+00
-1.770000000000000e+00	8.493281e+00
-1.760000000000000e+00	8.493224e+00
-1.750000000000000e+00	8.493166e+00
-1.740000000000000e+00	8.493106e+00
-1.730000000000000e+00	8.493044e+00
-1.720000000000000e+00	8.492981e+00
-1.710000000000000e+00	8.492916e+00
-1.700000000000000e+00	8.492850e+00
-1.690000000000000e+00	8.492782e+00
-1.680000000000000e+00	8.492712e+00
-1.670000000000000e+00	8.492640e+00
-1.660000000000000e+00	8.492568e+00
-1.650000000000000e+00	8.492493e+00
-1.640000000000000e+00	8.492415e+00
-1.630000000000000e+00	8.492336e+00
-1.620000000000000e+00	8.492256e+00
-1.610000000000000e+00	8.492173e+00
-1.600000000000000e+00	8.492088e+00
-1.590000000000000e+00	8.492002e+00
-1.580000000000000e+00	8.491912e+00
-1.570000000000000e+00	8.491821e+00
-1.560000000000000e+00	8.491728e+00
-1.550000000000000e+00	8.491632e+00
-1.540000000000000e+00	8.491534e+00
-1.530000000000000e+00	8.491434e+00
-1.520000000000000e+00	8.491332e+00
-1.510000000000000e+00	8.491227e+00
-1.500000000000000e+00	8.491119e+00
-1.490000000000000e+00	8.491010e+00
-1.480000000000000e+00	8.490897e+00
-1.470000000000000e+00	8.490782e+00
-1.460000000000000e+00	8.490664e+00
-1.450000000000000e+00	8.490543e+00
-1.440000000000000e+00	8.490420e+00
-1.429999999999999e+00	8.490294e+00
-1.419999999999999e+00	8.490166e+00
-1.409999999999999e+00	8.490033e+00
-1.399999999999999e+00	8.489899e+00
-1.389999999999999e+00	8.489761e+00
-1.379999999999999e+00	8.489620e+00
-1.369999999999999e+00	8.489476e+00
-1.359999999999999e+00	8.489328e+00
-1.349999999999999e+00	8.489179e+00
-1.339999999999999e+00	8.489024e+00
-1.329999999999999e+00	8.488868e+00
-1.319999999999999e+00	8.488707e+00
-1.309999999999999e+00	8.488543e+00
-1.299999999999999e+00	8.488375e+00
-1.289999999999999e+00	8.488204e+00
-1.279999999999999e+00	8.488029e+00
-1.269999999999999e+00	8.487850e+00
-1.259999999999999e+00	8.487667e+00
-1.249999999999999e+00	8.487481e+00
-1.239999999999999e+00	8.487290e+00
-1.229999999999999e+00	8.487096e+00
-1.219999999999999e+00	8.486897e+00
-1.209999999999999e+00	8.486694e+00
-1.199999999999999e+00	8.486486e+00
-1.189999999999999e+00	8.486275e+00
-1.179999999999999e+00	8.486059e+00
