time	V(vin2)	V(vo2)
0.000000000000000e+00	-1.990054e-01	5.958488e+00
1.428571428571429e-13	-1.420072e-01	5.958492e+00
2.857142857142858e-13	-8.500900e-02	5.958497e+00
4.285714285714287e-13	-2.801073e-02	5.958501e+00
5.714285714285716e-13	2.898757e-02	5.958506e+00
7.142857142857144e-13	8.598590e-02	5.958511e+00
8.571428571428574e-13	1.429843e-01	5.958516e+00
1.000000000000000e-12	1.999827e-01	5.958520e+00
2.427612830868467e-08	1.999825e-01	5.955779e+00
4.855125661736933e-08	1.999822e-01	5.951686e+00
7.282638492605400e-08	1.999817e-01	5.946242e+00
9.710151323473866e-08	1.999812e-01	5.939446e+00
1.213766415434233e-07	1.999805e-01	5.931299e+00
1.456517698521080e-07	1.999797e-01	5.921801e+00
1.699268981607926e-07	1.999788e-01	5.910951e+00
3.193250906659323e-07	1.999732e-01	5.842232e+00
1.462182233523075e-06	1.999265e-01	5.272965e+00
2.605039376380218e-06	1.998800e-01	4.706040e+00
3.747896519237361e-06	1.998337e-01	4.141456e+00
4.890753662094504e-06	1.997877e-01	3.579213e+00
6.033610804951647e-06	1.997418e-01	3.019312e+00
7.176467947808790e-06	1.996961e-01	2.461751e+00
8.319325090665931e-06	1.996506e-01	1.906532e+00
8.862182233523077e-06	1.996292e-01	1.645516e+00
9.405039376380224e-06	1.996080e-01	1.386970e+00
9.947896519237372e-06	1.995870e-01	1.130896e+00
1.049075366209452e-05	1.995662e-01	8.772936e-01
1.103361080495167e-05	1.995456e-01	6.261622e-01
1.157646794780881e-05	1.995253e-01	3.775020e-01
1.211932509066596e-05	1.995051e-01	1.313131e-01
1.231932509066596e-05	1.994978e-01	4.179634e-02
1.241932509066596e-05	1.994941e-01	-2.771506e-03
1.261932509066596e-05	1.994869e-01	-9.151464e-02
1.314789651923739e-05	1.994678e-01	-3.241875e-01
1.367646794780882e-05	1.994491e-01	-5.519613e-01
1.420503937638025e-05	1.994309e-01	-7.748362e-01
1.473361080495168e-05	1.994130e-01	-9.928121e-01
1.526218223352311e-05	1.993955e-01	-1.205889e+00
1.579075366209454e-05	1.993785e-01	-1.414067e+00
1.631932509066597e-05	1.993618e-01	-1.617346e+00
1.771932509066596e-05	1.993205e-01	-2.122261e+00
1.911932509066595e-05	1.992826e-01	-2.585219e+00
2.051932509066593e-05	1.992481e-01	-3.006217e+00
2.191932509066592e-05	1.992171e-01	-3.385258e+00
2.331932509066591e-05	1.991895e-01	-3.722340e+00
2.471932509066590e-05	1.991653e-01	-4.017464e+00
2.611932509066588e-05	1.991446e-01	-4.270630e+00
2.711932509066588e-05	1.991313e-01	-4.432380e+00
2.811932509066589e-05	1.991191e-01	-4.581804e+00
2.911932509066589e-05	1.991079e-01	-4.718903e+00
3.011932509066589e-05	1.990977e-01	-4.843676e+00
3.111932509066589e-05	1.990885e-01	-4.956123e+00
3.211932509066590e-05	1.990803e-01	-5.056245e+00
3.311932509066590e-05	1.990731e-01	-5.144041e+00
3.413361080495164e-05	1.990664e-01	-5.225156e+00
3.514789651923738e-05	1.990603e-01	-5.299860e+00
3.616218223352312e-05	1.990547e-01	-5.368152e+00
3.717646794780886e-05	1.990497e-01	-5.430033e+00
3.819075366209460e-05	1.990451e-01	-5.485502e+00
3.920503937638033e-05	1.990411e-01	-5.534559e+00
4.021932509066607e-05	1.990376e-01	-5.577206e+00
4.133361080495182e-05	1.990342e-01	-5.619614e+00
4.244789651923756e-05	1.990310e-01	-5.658408e+00
4.356218223352330e-05	1.990281e-01	-5.693587e+00
4.467646794780904e-05	1.990255e-01	-5.725151e+00
4.579075366209478e-05	1.990232e-01	-5.753101e+00
4.690503937638053e-05	1.990212e-01	-5.777437e+00
4.801932509066626e-05	1.990195e-01	-5.798158e+00
4.936218223352344e-05	1.990177e-01	-5.820383e+00
5.070503937638061e-05	1.990161e-01	-5.840444e+00
5.204789651923779e-05	1.990146e-01	-5.858342e+00
5.339075366209497e-05	1.990133e-01	-5.874075e+00
5.473361080495214e-05	1.990122e-01	-5.887645e+00
5.607646794780932e-05	1.990113e-01	-5.899050e+00
5.741932509066649e-05	1.990105e-01	-5.908292e+00
5.927646794780939e-05	1.990096e-01	-5.919261e+00
6.113361080495230e-05	1.990088e-01	-5.928913e+00
6.299075366209519e-05	1.990082e-01	-5.937249e+00
6.484789651923810e-05	1.990076e-01	-5.944270e+00
6.670503937638100e-05	1.990071e-01	-5.949974e+00
6.856218223352391e-05	1.990068e-01	-5.954363e+00
7.041932509066681e-05	1.990065e-01	-5.957436e+00
7.357646794780973e-05	1.990062e-01	-5.961620e+00
7.673361080495268e-05	1.990059e-01	-5.965142e+00
7.989075366209562e-05	1.990056e-01	-5.968001e+00
8.304789651923855e-05	1.990055e-01	-5.970199e+00
8.620503937638147e-05	1.990053e-01	-5.971734e+00
8.936218223352442e-05	1.990053e-01	-5.972607e+00
9.251932509066734e-05	1.990052e-01	-5.972818e+00
9.941932509066751e-05	1.990052e-01	-5.973695e+00
1.500000010000000e-04	1.990051e-01	-5.974523e+00
1.500000013000000e-04	7.930885e-02	-5.974533e+00
1.500000017000000e-04	-8.028643e-02	-5.974546e+00
1.500000020000000e-04	-1.999830e-01	-5.974555e+00
1.500187538851077e-04	-1.999829e-01	-5.972868e+00
1.500375057702154e-04	-1.999827e-01	-5.970218e+00
1.500562576553231e-04	-1.999824e-01	-5.966605e+00
1.500750095404308e-04	-1.999820e-01	-5.962029e+00
1.500937614255385e-04	-1.999816e-01	-5.956491e+00
1.501125133106462e-04	-1.999811e-01	-5.949990e+00
1.501312651957539e-04	-1.999804e-01	-5.942526e+00
1.501937053560973e-04	-1.999783e-01	-5.916736e+00
1.503560468962605e-04	-1.999720e-01	-5.840409e+00
1.515846183248319e-04	-1.999218e-01	-5.227649e+00
1.528131897534034e-04	-1.998718e-01	-4.618039e+00
1.540417611819748e-04	-1.998221e-01	-4.011580e+00
1.552703326105463e-04	-1.997727e-01	-3.408271e+00
1.564989040391177e-04	-1.997235e-01	-2.808112e+00
1.577274754676892e-04	-1.996745e-01	-2.211103e+00
1.589560468962607e-04	-1.996259e-01	-1.617245e+00
1.594417611819750e-04	-1.996069e-01	-1.385611e+00
1.599274754676893e-04	-1.995881e-01	-1.156154e+00
1.604131897534036e-04	-1.995695e-01	-9.288726e-01
1.608989040391178e-04	-1.995510e-01	-7.037681e-01
1.613846183248322e-04	-1.995328e-01	-4.808403e-01
1.618703326105464e-04	-1.995147e-01	-2.600890e-01
1.623560468962607e-04	-1.994968e-01	-4.151439e-02
1.624560468962608e-04	-1.994931e-01	2.997226e-03
1.626560468962608e-04	-1.994859e-01	9.162538e-02
1.631846183248322e-04	-1.994668e-01	3.239741e-01
1.637131897534036e-04	-1.994482e-01	5.514052e-01
1.642417611819751e-04	-1.994300e-01	7.739187e-01
1.647703326105465e-04	-1.994121e-01	9.915147e-01
1.652989040391180e-04	-1.993947e-01	1.204193e+00
1.658274754676894e-04	-1.993777e-01	1.411954e+00
1.663560468962608e-04	-1.993611e-01	1.614797e+00
1.677560468962609e-04	-1.993198e-01	2.118456e+00
1.691560468962609e-04	-1.992820e-01	2.580215e+00
1.705560468962609e-04	-1.992476e-01	3.000072e+00
1.719560468962610e-04	-1.992167e-01	3.378029e+00
1.733560468962610e-04	-1.991892e-01	3.714086e+00
1.747560468962610e-04	-1.991651e-01	4.008242e+00
1.761560468962611e-04	-1.991444e-01	4.260497e+00
1.771560468962611e-04	-1.991312e-01	4.421696e+00
1.781560468962611e-04	-1.991191e-01	4.570610e+00
1.791560468962612e-04	-1.991079e-01	4.707239e+00
1.801560468962612e-04	-1.990977e-01	4.831582e+00
