Freq.	V(n002)
1.00000000000000e+02	(-4.64138050738782e+01dB,1.75400241122323e+02°)
1.00230523807790e+02	(-4.63729044216908e+01dB,1.75389366498035e+02°)
1.00461579027840e+02	(-4.63319995670545e+01dB,1.75378464891413e+02°)
1.00693166885180e+02	(-4.62910904901498e+01dB,1.75367536226589e+02°)
1.00925288607668e+02	(-4.62501771710615e+01dB,1.75356580427420e+02°)
1.01157945425990e+02	(-4.62092595897787e+01dB,1.75345597417488e+02°)
1.01391138573668e+02	(-4.61683377261940e+01dB,1.75334587120096e+02°)
1.01624869287070e+02	(-4.61274115601033e+01dB,1.75323549458271e+02°)
1.01859138805412e+02	(-4.60864810712048e+01dB,1.75312484354759e+02°)
1.02093948370768e+02	(-4.60455462390993e+01dB,1.75301391732024e+02°)
1.02329299228075e+02	(-4.60046070432887e+01dB,1.75290271512247e+02°)
1.02565192625141e+02	(-4.59636634631766e+01dB,1.75279123617325e+02°)
1.02801629812647e+02	(-4.59227154780670e+01dB,1.75267947968871e+02°)
1.03038612044162e+02	(-4.58817630671641e+01dB,1.75256744488209e+02°)
1.03276140576140e+02	(-4.58408062095717e+01dB,1.75245513096374e+02°)
1.03514216667934e+02	(-4.57998448842930e+01dB,1.75234253714113e+02°)
1.03752841581801e+02	(-4.57588790702295e+01dB,1.75222966261879e+02°)
1.03992016582906e+02	(-4.57179087461813e+01dB,1.75211650659833e+02°)
1.04231742939330e+02	(-4.56769338908457e+01dB,1.75200306827842e+02°)
1.04472021922080e+02	(-4.56359544828174e+01dB,1.75188934685477e+02°)
1.04712854805090e+02	(-4.55949705005875e+01dB,1.75177534152010e+02°)
1.04954242865232e+02	(-4.55539819225434e+01dB,1.75166105146415e+02°)
1.05196187382322e+02	(-4.55129887269680e+01dB,1.75154647587365e+02°)
1.05438689639126e+02	(-4.54719908920391e+01dB,1.75143161393230e+02°)
1.05681750921366e+02	(-4.54309883958290e+01dB,1.75131646482078e+02°)
1.05925372517729e+02	(-4.53899812163043e+01dB,1.75120102771670e+02°)
1.06169555719872e+02	(-4.53489693313246e+01dB,1.75108530179460e+02°)
1.06414301822431e+02	(-4.53079527186426e+01dB,1.75096928622596e+02°)
1.06659612123026e+02	(-4.52669313559036e+01dB,1.75085298017911e+02°)
1.06905487922266e+02	(-4.52259052206441e+01dB,1.75073638281932e+02°)
1.07151930523760e+02	(-4.51848742902926e+01dB,1.75061949330868e+02°)
1.07398941234124e+02	(-4.51438385421677e+01dB,1.75050231080615e+02°)
1.07646521362983e+02	(-4.51027979534785e+01dB,1.75038483446751e+02°)
1.07894672222983e+02	(-4.50617525013237e+01dB,1.75026706344539e+02°)
1.08143395129794e+02	(-4.50207021626909e+01dB,1.75014899688917e+02°)
1.08392691402120e+02	(-4.49796469144564e+01dB,1.75003063394505e+02°)
1.08642562361706e+02	(-4.49385867333842e+01dB,1.74991197375598e+02°)
1.08893009333343e+02	(-4.48975215961258e+01dB,1.74979301546167e+02°)
1.09144033644875e+02	(-4.48564514792194e+01dB,1.74967375819856e+02°)
1.09395636627209e+02	(-4.48153763590895e+01dB,1.74955420109977e+02°)
1.09647819614318e+02	(-4.47742962120462e+01dB,1.74943434329518e+02°)
1.09900583943252e+02	(-4.47332110142847e+01dB,1.74931418391129e+02°)
1.10153930954141e+02	(-4.46921207418846e+01dB,1.74919372207130e+02°)
1.10407861990207e+02	(-4.46510253708094e+01dB,1.74907295689504e+02°)
1.10662378397766e+02	(-4.46099248769059e+01dB,1.74895188749897e+02°)
1.10917481526240e+02	(-4.45688192359036e+01dB,1.74883051299614e+02°)
1.11173172728159e+02	(-4.45277084234141e+01dB,1.74870883249621e+02°)
1.11429453359173e+02	(-4.44865924149306e+01dB,1.74858684510542e+02°)
1.11686324778056e+02	(-4.44454711858271e+01dB,1.74846454992653e+02°)
1.11943788346715e+02	(-4.44043447113579e+01dB,1.74834194605887e+02°)
1.12201845430196e+02	(-4.43632129666570e+01dB,1.74821903259826e+02°)
1.12460497396692e+02	(-4.43220759267375e+01dB,1.74809580863703e+02°)
1.12719745617551e+02	(-4.42809335664910e+01dB,1.74797227326399e+02°)
1.12979591467279e+02	(-4.42397858606869e+01dB,1.74784842556439e+02°)
1.13240036323555e+02	(-4.41986327839717e+01dB,1.74772426461995e+02°)
1.13501081567231e+02	(-4.41574743108686e+01dB,1.74759978950879e+02°)
1.13762728582343e+02	(-4.41163104157768e+01dB,1.74747499930544e+02°)
1.14024978756116e+02	(-4.40751410729708e+01dB,1.74734989308080e+02°)
1.14287833478977e+02	(-4.40339662565997e+01dB,1.74722446990215e+02°)
1.14551294144553e+02	(-4.39927859406867e+01dB,1.74709872883309e+02°)
1.14815362149688e+02	(-4.39516000991284e+01dB,1.74697266893357e+02°)
1.15080038894443e+02	(-4.39104087056943e+01dB,1.74684628925981e+02°)
1.15345325782109e+02	(-4.38692117340257e+01dB,1.74671958886435e+02°)
1.15611224219209e+02	(-4.38280091576356e+01dB,1.74659256679595e+02°)
1.15877735615512e+02	(-4.37868009499077e+01dB,1.74646522209964e+02°)
1.16144861384034e+02	(-4.37455870840959e+01dB,1.74633755381666e+02°)
1.16412602941049e+02	(-4.37043675333234e+01dB,1.74620956098445e+02°)
1.16680961706096e+02	(-4.36631422705824e+01dB,1.74608124263663e+02°)
1.16949939101987e+02	(-4.36219112687330e+01dB,1.74595259780297e+02°)
1.17219536554813e+02	(-4.35806745005029e+01dB,1.74582362550938e+02°)
1.17489755493952e+02	(-4.35394319384866e+01dB,1.74569432477789e+02°)
1.17760597352080e+02	(-4.34981835551445e+01dB,1.74556469462661e+02°)
1.18032063565172e+02	(-4.34569293228025e+01dB,1.74543473406974e+02°)
1.18304155572516e+02	(-4.34156692136512e+01dB,1.74530444211752e+02°)
1.18576874816716e+02	(-4.33744031997452e+01dB,1.74517381777620e+02°)
1.18850222743701e+02	(-4.33331312530023e+01dB,1.74504286004807e+02°)
1.19124200802737e+02	(-4.32918533452030e+01dB,1.74491156793136e+02°)
1.19398810446427e+02	(-4.32505694479897e+01dB,1.74477994042030e+02°)
1.19674053130724e+02	(-4.32092795328659e+01dB,1.74464797650503e+02°)
1.19949930314937e+02	(-4.31679835711957e+01dB,1.74451567517162e+02°)
1.20226443461741e+02	(-4.31266815342026e+01dB,1.74438303540203e+02°)
1.20503594037179e+02	(-4.30853733929695e+01dB,1.74425005617407e+02°)
1.20781383510677e+02	(-4.30440591184374e+01dB,1.74411673646141e+02°)
1.21059813355048e+02	(-4.30027386814049e+01dB,1.74398307523355e+02°)
1.21338885046497e+02	(-4.29614120525274e+01dB,1.74384907145576e+02°)
1.21618600064636e+02	(-4.29200792023163e+01dB,1.74371472408912e+02°)
